hh,own_value
1013000204.0,218400.0
1013000206.0,
1021000102.0,
1021000108.0,
1021000109.0,
1021000110.0,
1021000111.0,
1021000113.0,
1021000201.0,
1021000202.0,
1021000203.0,
1021000207.0,
1021000212.0,
1021000213.0,
1021000310.0,
1021000312.0,
1021000402.0,
1021000405.0,
1021000406.0,
1021000408.0,
1021000503.0,
1021000504.0,
1021000506.0,
1021000604.0,
1021000607.0,
1021000608.0,
1021000610.0,
1021000612.0,
1021000701.0,
1021000702.0,
1021000703.0,
1021000705.0,
1021000710.0,
1021000711.0,
1021000802.0,
1021000807.0,
1021000808.0,
1021000809.0,
1021000811.0,
1021000904.0,
1021000906.0,
1021000909.0,
1021001003.0,
1021001004.0,
1021001005.0,
1021001008.0,
1021001009.0,
1021001107.0,
1021001109.0,
1021001110.0,
1021001202.0,
1021001206.0,
1021001208.0,
1021001210.0,
1021001211.0,
1021001301.0,
1021001304.0,
1021001306.0,
1021001307.0,
1021001308.0,
1021001402.0,
1021001403.0,
1021001405.0,
1021001406.0,
1021001407.0,
1021001408.0,
1021001501.0,
1021001505.0,
1021001512.0,
1021001606.0,
1021001607.0,
1021001609.0,416000.0
1021001610.0,
1021001701.0,
1021001704.0,
1021001705.0,
1021001706.0,
1021001709.0,
1021001710.0,
1021001713.0,
1021001802.0,
1021001804.0,
1021001809.0,
1021001810.0,
1021001901.0,
1021001902.0,
1021001907.0,
1021001909.0,
1021002003.0,
1021002007.0,
1021002008.0,
1021002010.0,
1021002011.0,
1021002103.0,
1021002105.0,
1021002107.0,
1021002201.0,
1021002202.0,
1021002203.0,
1021002204.0,
1021002207.0,
1021002208.0,
1021002210.0,
1021002211.0,
1021002301.0,
1021002308.0,
1021002309.0,
1021002312.0,
1021002407.0,
1021002501.0,
1021002502.0,
1021002505.0,
1021002506.0,
1021002508.0,
1021002509.0,
1021002510.0,
1021002512.0,
1021002603.0,
1021002604.0,
1021002605.0,
1021002606.0,
1021002610.0,
1021002611.0,
1021002613.0,
1021002702.0,
1021002703.0,
1021002708.0,
1021002710.0,
1021002711.0,
1021002801.0,
1021002802.0,
1021002803.0,
1021002805.0,
1021002807.0,
1021002810.0,
1021002901.0,
1021002903.0,
1021002906.0,
1021002910.0,
1021003003.0,
1021003101.0,
1021003103.0,
1021003104.0,
1021003109.0,
1021003110.0,
1021003201.0,
1021003205.0,
1021003308.0,
1021003309.0,
1021003310.0,
1021003403.0,
1021003411.0,
1021003412.0,
1021003413.0,
1033000302.0,
1033000304.0,416000.0
1033000305.0,
1033000307.0,2080000.0
1033000308.0,
1033000504.0,
1033000506.0,122200.0
1033000507.0,
1033000511.0,
1041000203.0,
1041000206.0,
1041000209.0,
1041000213.0,
1043000402.0,
1043000403.0,871000.0
1043000406.0,
1043000407.0,130000.0
1043000408.0,
1043000409.0,327600.0
1043000410.0,546000.0
1043000601.0,260000.0
1043000602.0,
1043000603.0,780000.0
1043000605.0,
1043000607.0,
1043000611.0,
1043000802.0,
1043000804.0,
1043000805.0,
1043000806.0,
1043000807.0,
1043000808.0,218400.0
1043000809.0,93600.0
1043000810.0,
1043000811.0,
1051000103.0,
1051000104.0,
1051000105.0,
1051000106.0,
1051000109.0,
1051000110.0,1331200.0
1051000301.0,
1051000305.0,
1051000308.0,
1051000309.0,213200.0
1051000310.0,
1051000311.0,
1053000402.0,
1053000408.0,31200.0
1053000410.0,
1053000802.0,218400.0
1053000806.0,
