hh,ctotal,ctotal_dur,ctotal_gift,ctotal_dur_gift,ctotal_nogift,ctotal_dur_nogift,ctotal_own,ctotal_dur_own,cfood,cnodur,cdur
1013000201.0,2888200.0,2888200.0,0.0,0.0,2888200.0,2888200.0,180000.0,180000.0,2181400.0,706800.0,
1013000204.0,2579300.0,2579300.0,132000.0,132000.0,2228900.0,2228900.0,338400.0,338400.0,1956500.0,622800.0,
1013000206.0,8110600.0,8110600.0,0.0,0.0,8110600.0,8110600.0,0.0,0.0,3039400.0,5071200.0,
1013000210.0,2314400.0,2314400.0,72000.0,72000.0,2242400.0,2242400.0,240000.0,240000.0,1664000.0,650400.0,
1013000213.0,344000.0,344000.0,0.0,0.0,344000.0,344000.0,24000.0,24000.0,119600.0,224400.0,
1021000102.0,23207800.0,23207800.0,3600000.0,3600000.0,19607800.0,19607800.0,0.0,0.0,8312200.0,14895600.0,
1021000108.0,9554300.0,9554300.0,104000.0,104000.0,9450300.0,9450300.0,3600000.0,3600000.0,2861300.0,6693000.0,
1021000109.0,6692880.0,6692880.0,0.0,0.0,6692880.0,6692880.0,0.0,0.0,3900000.0,2792880.0,
1021000110.0,15601600.0,15601600.0,0.0,0.0,15601600.0,15601600.0,1200000.0,1200000.0,6923800.0,8677800.0,
1021000111.0,15729600.0,15729600.0,0.0,0.0,15729600.0,15729600.0,1200000.0,1200000.0,5163600.0,10566000.0,
1021000113.0,14976400.0,14976400.0,728000.0,728000.0,14092400.0,14092400.0,3756000.0,3756000.0,6697600.0,8278800.0,
1021000201.0,7171700.0,7171700.0,0.0,0.0,7171700.0,7171700.0,0.0,0.0,2619500.0,4552200.0,
1021000202.0,2334400.0,2334400.0,0.0,0.0,2334400.0,2334400.0,0.0,0.0,1058200.0,1276200.0,
1021000203.0,6294000.0,6344000.0,0.0,0.0,6294000.0,6294000.0,0.0,0.0,3229200.0,3064800.0,50000.0
1021000207.0,5069000.0,5069000.0,0.0,0.0,5069000.0,5069000.0,0.0,0.0,2139800.0,2929200.0,
1021000209.0,3401200.0,3401200.0,0.0,0.0,3401200.0,3401200.0,0.0,0.0,1565200.0,1836000.0,
1021000210.0,1927200.0,1927200.0,0.0,0.0,1927200.0,1927200.0,0.0,0.0,1248000.0,679200.0,
1021000212.0,4195700.0,4195700.0,650000.0,650000.0,3545700.0,3545700.0,0.0,0.0,2611700.0,1584000.0,
1021000213.0,24082000.0,24082000.0,0.0,0.0,24082000.0,24082000.0,6000000.0,6000000.0,9334000.0,14748000.0,
1021000303.0,3959200.0,4039200.0,1640000.0,1640000.0,2319200.0,2319200.0,0.0,0.0,1596400.0,2362800.0,80000.0
1021000310.0,6108800.0,6893800.0,2184000.0,2184000.0,3924800.0,3924800.0,0.0,0.0,2490800.0,3618000.0,785000.0
1021000312.0,4562900.0,4771400.0,0.0,0.0,4562900.0,4562900.0,0.0,0.0,2174900.0,2388000.0,208500.0
1021000313.0,7858800.0,8158800.0,0.0,0.0,7858800.0,7858800.0,0.0,0.0,5350800.0,2508000.0,300000.0
1021000401.0,1519800.0,1519800.0,240000.0,240000.0,1279800.0,1279800.0,0.0,0.0,819000.0,700800.0,
1021000402.0,13823000.0,13823000.0,0.0,0.0,13823000.0,13823000.0,6000000.0,6000000.0,3582800.0,10240200.0,
1021000405.0,4190800.0,4190800.0,0.0,0.0,4190800.0,4190800.0,300000.0,300000.0,3328000.0,862800.0,
1021000406.0,7160400.0,7160400.0,390000.0,390000.0,6770400.0,6770400.0,0.0,0.0,4882800.0,2277600.0,
1021000408.0,8222600.0,8222600.0,1120400.0,1120400.0,7102200.0,7102200.0,2400000.0,2400000.0,3263000.0,4959600.0,
1021000409.0,2849600.0,2859600.0,480000.0,480000.0,2369600.0,2369600.0,0.0,0.0,1742000.0,1107600.0,10000.0
1021000501.0,3357600.0,3357600.0,0.0,0.0,3357600.0,3357600.0,1800000.0,1800000.0,936000.0,2421600.0,
1021000503.0,4729200.0,5059200.0,3072000.0,3072000.0,1657200.0,1657200.0,0.0,0.0,1887600.0,2841600.0,330000.0
1021000504.0,4298800.0,4426300.0,286000.0,286000.0,4012800.0,4012800.0,0.0,0.0,2126800.0,2172000.0,127500.0
1021000506.0,10661800.0,10661800.0,0.0,0.0,10661800.0,10661800.0,0.0,0.0,6580600.0,4081200.0,
1021000604.0,4604400.0,4604400.0,0.0,0.0,4604400.0,4604400.0,720000.0,720000.0,2168400.0,2436000.0,
1021000607.0,22207600.0,22457600.0,0.0,0.0,22207600.0,22207600.0,2400000.0,2400000.0,7508800.0,14698800.0,250000.0
1021000608.0,4318600.0,4322600.0,0.0,0.0,4318600.0,4318600.0,0.0,0.0,4318600.0,,4000.0
1021000610.0,16718104.0,16718104.0,0.0,0.0,16718104.0,16718104.0,3600000.0,3600000.0,6307600.0,10410504.0,
1021000612.0,12460680.0,12471680.0,0.0,0.0,12460680.0,12460680.0,3000000.0,3000000.0,5787600.0,6673080.0,11000.0
1021000701.0,35990600.0,37490600.0,0.0,0.0,35990600.0,35990600.0,0.0,0.0,16351400.0,19639200.0,1500000.0
1021000702.0,4022100.0,4022100.0,364000.0,364000.0,3450100.0,3450100.0,208000.0,208000.0,2757300.0,1264800.0,
1021000703.0,6956700.0,7236700.0,0.0,0.0,6956700.0,6956700.0,1800000.0,1800000.0,1556100.0,5400600.0,280000.0
1021000705.0,2934600.0,2969600.0,720000.0,720000.0,2214600.0,2214600.0,0.0,0.0,1770600.0,1164000.0,35000.0
1021000709.0,7005600.0,7005600.0,0.0,0.0,7005600.0,7005600.0,1200000.0,1200000.0,3151200.0,3854400.0,
1021000710.0,35859200.0,35859200.0,4260000.0,4260000.0,31599200.0,31599200.0,1080000.0,1080000.0,24533600.0,11325600.0,
1021000711.0,5023200.0,5023200.0,0.0,0.0,5023200.0,5023200.0,1440000.0,1440000.0,2464800.0,2558400.0,
1021000802.0,4847764.0,4847764.0,922400.0,922400.0,3925364.0,3925364.0,0.0,0.0,2938000.0,1909764.0,
1021000803.0,5318600.0,5318600.0,0.0,0.0,5318600.0,5318600.0,0.0,0.0,2038400.0,3280200.0,
1021000805.0,2182800.0,2182800.0,0.0,0.0,2182800.0,2182800.0,0.0,0.0,982800.0,1200000.0,
1021000807.0,6755824.0,6755824.0,0.0,0.0,6755824.0,6755824.0,2400000.0,2400000.0,2532400.0,4223424.0,
1021000808.0,4250800.0,4250800.0,1800000.0,1800000.0,2450800.0,2450800.0,0.0,0.0,1175200.0,3075600.0,
1021000809.0,3904076.0,3946076.0,0.0,0.0,3904076.0,3904076.0,0.0,0.0,1417676.0,2486400.0,42000.0
1021000810.0,1762600.0,1762600.0,26000.0,26000.0,1736600.0,1736600.0,600000.0,600000.0,730600.0,1032000.0,
1021000811.0,5638100.0,5638100.0,0.0,0.0,5638100.0,5638100.0,420000.0,420000.0,3173300.0,2464800.0,
1021000904.0,6342500.0,6342500.0,480000.0,480000.0,5862500.0,5862500.0,0.0,0.0,1706900.0,4635600.0,
1021000906.0,8297800.0,8297800.0,120000.0,120000.0,8177800.0,8177800.0,0.0,0.0,3273400.0,5024400.0,
1021000909.0,3791100.0,4136100.0,0.0,0.0,3791100.0,3791100.0,0.0,0.0,1384500.0,2406600.0,345000.0
1021001003.0,11053600.0,11053600.0,0.0,0.0,11053600.0,11053600.0,1440000.0,1440000.0,5707000.0,5346600.0,
1021001004.0,2654800.0,2654800.0,10400.0,10400.0,2644400.0,2644400.0,0.0,0.0,1643200.0,1011600.0,
1021001005.0,7536100.0,7536100.0,1469000.0,1469000.0,6067100.0,6067100.0,0.0,0.0,5757700.0,1778400.0,
1021001007.0,3685000.0,3685000.0,0.0,0.0,3685000.0,3685000.0,0.0,0.0,2298400.0,1386600.0,
1021001008.0,2954000.0,2954000.0,182000.0,182000.0,2772000.0,2772000.0,0.0,0.0,1710800.0,1243200.0,
1021001009.0,7064200.0,7064200.0,0.0,0.0,7064200.0,7064200.0,0.0,0.0,4880200.0,2184000.0,
1021001011.0,1591200.0,1636200.0,173200.0,173200.0,1418000.0,1418000.0,0.0,0.0,702000.0,889200.0,45000.0
1021001102.0,3124600.0,3124600.0,1364800.0,1364800.0,1759800.0,1759800.0,0.0,0.0,956800.0,2167800.0,
1021001105.0,4588000.0,4588000.0,180000.0,180000.0,4408000.0,4408000.0,72000.0,72000.0,2704000.0,1884000.0,
1021001107.0,11708856.0,11753856.0,0.0,0.0,10616856.0,10616856.0,5892000.0,5892000.0,4371276.0,7337580.0,45000.0
1021001109.0,17603600.0,17623600.0,440000.0,440000.0,14199600.0,14199600.0,10164000.0,10164000.0,5907200.0,11696400.0,20000.0
1021001110.0,3394800.0,3394800.0,36000.0,36000.0,3358800.0,3358800.0,0.0,0.0,2168400.0,1226400.0,
1021001202.0,4581680.0,5031680.0,0.0,0.0,4581680.0,4581680.0,0.0,0.0,2019680.0,2562000.0,450000.0
1021001205.0,5457500.0,5529500.0,948000.0,948000.0,4509500.0,4509500.0,420000.0,420000.0,2502500.0,2955000.0,72000.0
1021001206.0,2878000.0,2928000.0,60000.0,60000.0,2818000.0,2818000.0,0.0,0.0,1736800.0,1141200.0,50000.0
1021001208.0,7743000.0,7743000.0,0.0,0.0,7743000.0,7743000.0,0.0,0.0,4126200.0,3616800.0,
1021001210.0,9349600.0,9349600.0,551200.0,551200.0,8798400.0,8798400.0,0.0,0.0,4201600.0,5148000.0,
1021001211.0,5453300.0,5453300.0,240000.0,240000.0,5213300.0,5213300.0,0.0,0.0,2397200.0,3056100.0,
1021001301.0,8522600.0,8522600.0,0.0,0.0,8522600.0,8522600.0,3600000.0,3600000.0,2880800.0,5641800.0,
1021001302.0,6151000.0,6151000.0,0.0,0.0,6151000.0,6151000.0,0.0,0.0,2399800.0,3751200.0,
1021001304.0,7483400.0,7483400.0,252000.0,252000.0,7023400.0,7023400.0,1168000.0,1168000.0,3247400.0,4236000.0,
1021001305.0,6667600.0,6667600.0,83200.0,83200.0,6584400.0,6584400.0,0.0,0.0,5777200.0,890400.0,
1021001306.0,2226000.0,2226000.0,174000.0,174000.0,2052000.0,2052000.0,0.0,0.0,795600.0,1430400.0,
1021001307.0,2908800.0,2908800.0,0.0,0.0,2908800.0,2908800.0,0.0,0.0,1326000.0,1582800.0,
1021001308.0,3773200.0,3773200.0,0.0,0.0,3773200.0,3773200.0,0.0,0.0,1471600.0,2301600.0,
1021001309.0,1508800.0,1508800.0,6000.0,6000.0,1502800.0,1502800.0,840000.0,840000.0,348400.0,1160400.0,
1021001311.0,2891800.0,2891800.0,0.0,0.0,2891800.0,2891800.0,0.0,0.0,1339000.0,1552800.0,
1021001402.0,5904800.0,6568800.0,1674000.0,1674000.0,4230800.0,4230800.0,0.0,0.0,2506400.0,3398400.0,664000.0
1021001403.0,3673400.0,3673400.0,0.0,0.0,3673400.0,3673400.0,0.0,0.0,1437800.0,2235600.0,
1021001405.0,6791900.0,6791900.0,360000.0,360000.0,6431900.0,6431900.0,0.0,0.0,3914300.0,2877600.0,
1021001406.0,4503584.0,4758084.0,1248000.0,1248000.0,3255584.0,3255584.0,0.0,0.0,2032784.0,2470800.0,254500.0
1021001407.0,7025600.0,7025600.0,1464000.0,1464000.0,5561600.0,5561600.0,0.0,0.0,3832400.0,3193200.0,
1021001408.0,7797700.0,7812700.0,51600.0,51600.0,7746100.0,7746100.0,600000.0,600000.0,3355300.0,4442400.0,15000.0
1021001501.0,5251200.0,5251200.0,1296000.0,1296000.0,3955200.0,3955200.0,0.0,0.0,2745600.0,2505600.0,
1021001504.0,12195000.0,18245000.0,0.0,0.0,12195000.0,12195000.0,6000000.0,6000000.0,390000.0,11805000.0,6050000.0
1021001505.0,25825000.0,26125000.0,2086000.0,2086000.0,23739000.0,23739000.0,3600000.0,3600000.0,12149800.0,13675200.0,300000.0
1021001507.0,5973200.0,5973200.0,0.0,0.0,5973200.0,5973200.0,4200000.0,4200000.0,1211600.0,4761600.0,
1021001512.0,5785200.0,5785200.0,2912000.0,2912000.0,2873200.0,2873200.0,0.0,0.0,4243200.0,1542000.0,
1021001606.0,11059400.0,11059400.0,0.0,0.0,11059400.0,11059400.0,3000000.0,3000000.0,3060200.0,7999200.0,
1021001607.0,29432000.0,30032000.0,4800000.0,4800000.0,24632000.0,24632000.0,4200000.0,4200000.0,11655800.0,17776200.0,600000.0
1021001609.0,17877200.0,17877200.0,0.0,0.0,15942800.0,15942800.0,1934400.0,1934400.0,8606000.0,9271200.0,
1021001610.0,11707600.0,11707600.0,4800000.0,4800000.0,6907600.0,6907600.0,0.0,0.0,4810000.0,6897600.0,
1021001701.0,6623200.0,6623200.0,821600.0,821600.0,5801600.0,5801600.0,1200000.0,1200000.0,2704000.0,3919200.0,
1021001704.0,4684000.0,4719000.0,62400.0,62400.0,4164000.0,4164000.0,1417600.0,1417600.0,2173600.0,2510400.0,35000.0
1021001705.0,3468600.0,3498600.0,180000.0,180000.0,3288600.0,3288600.0,0.0,0.0,1755000.0,1713600.0,30000.0
1021001706.0,3816200.0,3816200.0,0.0,0.0,3816200.0,3816200.0,0.0,0.0,1593800.0,2222400.0,
1021001709.0,2008800.0,2008800.0,1079000.0,1079000.0,929800.0,929800.0,0.0,0.0,1466400.0,542400.0,
1021001710.0,9053400.0,9053400.0,0.0,0.0,8871400.0,8871400.0,1982000.0,1982000.0,5031000.0,4022400.0,
1021001711.0,6419876.0,6419876.0,156000.0,156000.0,6263876.0,6263876.0,0.0,0.0,1515800.0,4904076.0,
1021001713.0,6477800.0,6577800.0,12000.0,12000.0,6465800.0,6465800.0,2400000.0,2400000.0,2342600.0,4135200.0,100000.0
1021001802.0,3439280.0,3439280.0,0.0,0.0,3439280.0,3439280.0,0.0,0.0,2206880.0,1232400.0,
1021001804.0,34852000.0,35802000.0,4528000.0,4528000.0,30324000.0,30324000.0,8400000.0,8400000.0,13312000.0,21540000.0,950000.0
1021001809.0,6950000.0,6950000.0,180000.0,180000.0,6770000.0,6770000.0,0.0,0.0,4674800.0,2275200.0,
1021001810.0,12784600.0,12784600.0,4020000.0,4020000.0,8764600.0,8764600.0,0.0,0.0,5496400.0,7288200.0,
1021001901.0,8137100.0,8137100.0,0.0,0.0,8137100.0,8137100.0,0.0,0.0,3493100.0,4644000.0,
1021001902.0,3387800.0,3387800.0,520000.0,520000.0,2867800.0,2867800.0,0.0,0.0,1796600.0,1591200.0,
1021001907.0,5552800.0,5552800.0,504000.0,504000.0,5048800.0,5048800.0,0.0,0.0,2158000.0,3394800.0,
1021001908.0,4511000.0,4511000.0,144000.0,144000.0,4367000.0,4367000.0,0.0,0.0,1765400.0,2745600.0,
1021001909.0,3507900.0,5307900.0,655200.0,655200.0,2852700.0,2852700.0,0.0,0.0,1688700.0,1819200.0,1800000.0
1021001910.0,9334100.0,9464100.0,444400.0,444400.0,8733700.0,8733700.0,4968000.0,4968000.0,2190500.0,7143600.0,130000.0
1021001915.0,1584000.0,1602000.0,148400.0,148400.0,1435600.0,1435600.0,0.0,0.0,530400.0,1053600.0,18000.0
1021002003.0,17853200.0,17853200.0,0.0,0.0,17853200.0,17853200.0,3600000.0,3600000.0,7982000.0,9871200.0,
1021002007.0,3356800.0,3356800.0,0.0,0.0,3356800.0,3356800.0,0.0,0.0,1705600.0,1651200.0,
1021002008.0,3436600.0,3436600.0,0.0,0.0,3436600.0,3436600.0,0.0,0.0,1783600.0,1653000.0,
1021002010.0,3088600.0,3088600.0,0.0,0.0,3088600.0,3088600.0,360000.0,360000.0,1713400.0,1375200.0,
1021002011.0,11465800.0,11465800.0,0.0,0.0,11465800.0,11465800.0,0.0,0.0,7079800.0,4386000.0,
1021002013.0,2472200.0,2472200.0,0.0,0.0,2472200.0,2472200.0,1800000.0,1800000.0,221000.0,2251200.0,
1021002103.0,8736200.0,8736200.0,312000.0,312000.0,8424200.0,8424200.0,0.0,0.0,4230200.0,4506000.0,
1021002105.0,15839500.0,15839500.0,0.0,0.0,15839500.0,15839500.0,1200000.0,1200000.0,5266300.0,10573200.0,
1021002106.0,3871900.0,3871900.0,0.0,0.0,3871900.0,3871900.0,0.0,0.0,1795300.0,2076600.0,
1021002107.0,7975000.0,7985000.0,0.0,0.0,7975000.0,7975000.0,4800000.0,4800000.0,1167400.0,6807600.0,10000.0
1021002201.0,6564884.0,6664884.0,1085000.0,1085000.0,5479884.0,5479884.0,0.0,0.0,1748084.0,4816800.0,100000.0
1021002202.0,2250140.0,2250140.0,864000.0,864000.0,1386140.0,1386140.0,180000.0,180000.0,816140.0,1434000.0,
1021002203.0,8249400.0,8249400.0,15600.0,15600.0,8233800.0,8233800.0,840000.0,840000.0,4734600.0,3514800.0,
1021002204.0,2414600.0,2439100.0,0.0,0.0,2414600.0,2414600.0,0.0,0.0,1671800.0,742800.0,24500.0
1021002205.0,6045200.0,6045200.0,4200000.0,4200000.0,1845200.0,1845200.0,0.0,0.0,938600.0,5106600.0,
