,hh,profit_ls,profit_agr,total_agrls
0,1021000108.0,0.0,1425420.0,1425420.0
1,1021000113.0,15110000.0,413782.9365079365,15523782.936507937
2,1021000408.0,0.0,143400.0,143400.0
3,1021000710.0,0.0,708026.1904761905,708026.1904761905
4,1021000807.0,930000.0,6814666.666666667,7744666.666666667
5,102100080803.0,181900.0,3633159.2380952383,3815059.2380952383
6,102100110201.0,110000.0,6894866.666666667,7004866.666666667
7,1021001109.0,200000.0,1005542.857142857,1205542.857142857
8,1021001304.0,-10000.0,382719.0476190476,372719.0476190476
9,1021001910.0,0.0,0.0,0.0
10,1021002501.0,,0.0,0.0
11,1021002610.0,104000.0,486214.28571428574,590214.2857142857
12,1021002611.0,0.0,414214.2857142857,414214.2857142857
13,1021002810.0,0.0,73721.42857142857,73721.42857142857
14,1033000301.0,0.0,725440.0,725440.0
15,1033000302.0,0.0,1095216.6666666667,1095216.6666666667
16,1033000303.0,0.0,2429642.8571428573,2429642.8571428573
17,1033000304.0,411000.0,602666.6666666666,1013666.6666666666
18,103300030403.0,0.0,834600.0000000001,834600.0000000001
19,1033000305.0,0.0,528599.9997615814,528599.9997615814
20,1033000307.0,2080000.0,3064589.2857142854,5144589.285714285
21,103300030702.0,48500.0,1304571.4285714289,1353071.4285714289
22,1033000308.0,-26000.0,3964761.9047619044,3938761.9047619044
23,1033000309.0,-1000.0,1458800.0,1457800.0
24,1033000310.0,0.0,272466.6666666667,272466.6666666667
25,1033000502.0,0.0,0.0,0.0
26,1033000504.0,0.0,2003557.142857143,2003557.142857143
27,1033000505.0,150000.0,1727866.6666666667,1877866.6666666667
28,1033000506.0,308200.0,2960333.3333333335,3268533.3333333335
29,1033000510.0,51000.0,2433676.1904761903,2484676.1904761903
30,103300051102.0,6000.0,4666571.428571429,4672571.428571429
31,1041000207.0,0.0,354540.0,354540.0
32,1041000210.0,-7500.0,9210935.714285713,9203435.714285713
33,1043000402.0,0.0,754847.619047619,754847.619047619
34,1043000403.0,899000.0,1448900.0000745058,2347900.000074506
35,1043000407.0,31000.0,4586276.19047619,4617276.19047619
36,1043000408.0,,282000.0,282000.0
37,1043000409.0,724600.0,4549857.142857143,5274457.142857143
38,104300040906.0,328400.0,10438176.19047619,10766576.19047619
39,104300040908.0,1002400.0,3755400.0,4757800.0
40,1043000410.0,2306000.0,3842268.428571428,6148268.428571428
41,1043000601.0,332000.0,3093666.4285714286,3425666.4285714286
42,1043000602.0,196500.0,5477152.380952381,5673652.380952381
43,1043000603.0,780000.0,3696298.2130936217,4476298.213093622
44,1043000604.0,-2000.0,1307379.0476190476,1305379.0476190476
45,1043000605.0,14400.0,456000.0,470400.0
46,1043000607.0,0.0,785680.9523809524,785680.9523809524
47,1043000610.0,0.0,1397728.5714285714,1397728.5714285714
48,1043000611.0,0.0,2057542.857142857,2057542.857142857
49,1043000804.0,1020000.0,751600.0,1771600.0
50,1043000805.0,-1000.0,624400.0,623400.0
51,1043000806.0,865000.0,3753619.0476190476,4618619.047619048
52,104300080608.0,0.0,198400.0,198400.0
53,1043000807.0,-15000.0,1321484.7619047617,1306484.7619047617
54,1043000808.0,624400.0,4477356.19047619,5101756.19047619
55,1043000809.0,459600.0,1226447.619047619,1686047.619047619
56,1043000810.0,420000.0,744114.2857142857,1164114.2857142857
57,1043000811.0,0.0,407190.47619047615,407190.47619047615
58,1051000103.0,0.0,0.0,0.0
59,1051000104.0,354500.0,673952.380952381,1028452.380952381
60,1051000109.0,836000.0,2053952.3809523806,2889952.3809523806
61,1051000110.0,361200.0,1672552.3809523808,2033752.3809523808
62,1051000310.0,0.0,890500.0,890500.0
63,1053000402.0,0.0,0.0,0.0
64,1053000403.0,0.0,229613.09523809524,229613.09523809524
65,1053000404.0,0.0,849127.619047619,849127.619047619
66,105300040605.0,0.0,3201404.7619047617,3201404.7619047617
67,105300040607.0,-48000.0,787285.7142857143,739285.7142857143
68,1053000407.0,-75000.0,1393200.0,1318200.0
69,1053000408.0,12200.0,1091333.3333333333,1103533.3333333333
70,1053000409.0,-3000.0,4087700.0,4084700.0
71,1053000410.0,-1000.0,506057.14285714284,505057.14285714284
72,1053000802.0,-177200.0,2033047.619047619,1855847.619047619
73,1053000804.0,-64000.0,603633.3333333333,539633.3333333333
74,1053000805.0,0.0,2165928.571428572,2165928.571428572
75,1053000806.0,47000.0,1739952.380952381,1786952.380952381
76,1053000807.0,23500.0,3672400.0,3695900.0
77,1053000808.0,-143000.0,26340738.095238093,26197738.095238093
78,1053000809.0,0.0,1641580.9523809527,1641580.9523809527
79,1053001203.0,0.0,10142876.190476192,10142876.190476192
80,1053001204.0,0.0,8189200.000000001,8189200.000000001
81,1053001205.0,0.0,2353895.238095238,2353895.238095238
82,1053001206.0,0.0,491600.0,491600.0
83,1053001207.0,0.0,838616.1904761904,838616.1904761904
84,1053001208.0,-20000.0,3261600.0,3241600.0
85,1053001209.0,508000.0,1748380.9523809522,2256380.9523809524
86,1053001210.0,0.0,362520.0,362520.0
87,1053001503.0,44800.0,2130166.666666667,2174966.666666667
88,1053001505.0,321000.0,26012157.142857146,26333157.142857146
89,1053001507.0,0.0,8621133.333333332,8621133.333333332
90,1053001508.0,99000.0,7459238.095238095,7558238.095238095
91,1053001509.0,-1500.0,11256909.523809524,11255409.523809524
92,1053001510.0,0.0,39144066.666666664,39144066.666666664
93,1053001512.0,122800.0,3779244.761904762,3902044.761904762
94,1053001513.0,0.0,1140450.0000000002,1140450.0000000002
95,105300151301.0,274200.0,5563345.634920635,5837545.634920635
96,105300151303.0,0.0,4352933.333333333,4352933.333333333
97,1053001902.0,0.0,538146.2857142857,538146.2857142857
98,1053001903.0,0.0,3857797.0,3857797.0
99,1053001904.0,77600.0,3986647.619047619,4064247.619047619
100,1053001905.0,0.0,5183666.666666666,5183666.666666666
101,1053001906.0,0.0,5196071.430383409,5196071.430383409
102,1053001907.0,175800.0,9669983.333333334,9845783.333333334
103,1053001908.0,11000.0,2799400.0,2810400.0
104,1053001909.0,85000.0,5220024.761904761,5305024.761904761
105,1053001910.0,0.0,1655695.2380952379,1655695.2380952379
106,1053002301.0,10000.0,488000.0,498000.0
107,1053002302.0,47000.0,944500.0,991500.0
108,1053002303.0,-3000.0,712042.857142857,709042.857142857
109,1053002305.0,275600.0,0.0,275600.0
110,1053002306.0,4000.0,540000.0,544000.0
111,1053002307.0,0.0,458500.0,458500.0
112,1053002308.0,-4500.0,4133333.333333333,4128833.333333333
113,1053002309.0,13000.0,388857.14285714284,401857.14285714284
114,1053002310.0,56500.0,966428.5714285714,1022928.5714285714
115,1053002602.0,0.0,597920.0,597920.0
116,1053002603.0,0.0,1347638.0952380951,1347638.0952380951
117,1053002605.0,2322000.0,6169580.952380952,8491580.952380951
118,1053002606.0,0.0,521333.3333333334,521333.3333333334
119,105300260602.0,0.0,1228899.0476190476,1228899.0476190476
120,1053002607.0,0.0,805619.0476190476,805619.0476190476
121,1053002608.0,162800.0,452285.71428571426,615085.7142857143
122,1053002609.0,-200000.0,4175800.0,3975800.0
123,1053002610.0,0.0,5948590.476190476,5948590.476190476
124,1053003001.0,0.0,0.0,0.0
125,1053003002.0,113000.0,1828758.0952380951,1941758.0952380951
126,1053003003.0,471600.0,3693314.2857142854,4164914.2857142854
127,1053003004.0,31000.0,2477233.3327372866,2508233.3327372866
128,1053003005.0,178400.0,16404219.047619045,16582619.047619045
129,105300300504.0,-3000.0,614466.6666666666,611466.6666666666
130,1053003006.0,0.0,85961.90476190476,85961.90476190476
131,1053003008.0,14000.0,-158428.57142857142,-144428.57142857142
132,1053003009.0,199600.0,1607847.619047619,1807447.619047619
133,1053003010.0,1708800.0,6311666.666666666,8020466.666666666
134,1053003303.0,20800.0,3072914.910226386,3093714.910226386
135,1053003304.0,80000.0,2234862.6666666665,2314862.6666666665
136,1053003305.0,0.0,1109321.4285714286,1109321.4285714286
137,1053003306.0,0.0,0.0,0.0
138,1053003307.0,0.0,2047509.5238095243,2047509.5238095243
139,1053003309.0,620400.0,2242571.4285714286,2862971.4285714286
140,1053003310.0,-43000.0,4672200.0,4629200.0
141,1053003312.0,13000.0,2479324.3333333335,2492324.3333333335
142,105300331202.0,-50000.0,548066.6666666666,498066.6666666666
143,1063000301.0,223200.0,740600.0,963800.0
144,1063000302.0,0.0,3539671.428571429,3539671.428571429
