,wage_total,hh,bs_profit,other_inc
0,4062240.0,1013000201,260000.0,4320000.0
1,,1013000204,102000.0,1440000.0
2,,1013000206,310000.0,4800000.0
3,1339200.0,1013000210,760000.0,5250000.0
4,390600.00000000006,1013000213,,400000.0
5,,101300021302,,140000.0
6,6026400.0,1021000102,800000.0,36000000.0
7,,1021000108,-380000.0,6680000.0
8,2232000.0,1021000109,470000.0,4700000.0
9,4464000.0,1021000110,-903750.0,3624000.0
10,1980900.0,1021000111,235000.0,8890000.0
11,9318600.0,1021000113,522000.0,14469000.0
12,1116000.0,1021000201,168000.0,2016000.0
13,,1021000202,30000.0,1320000.0
14,781200.0,1021000203,,6000000.0
15,,102100020304,60000.0,720000.0
16,,1021000207,-384400.0,4506000.0
17,,1021000209,440000.0,5520000.0
18,1339200.0,1021000210,,0.0
19,1004400.0000000001,1021000212,50000.0,2980000.0
20,,1021000213,1350000.0,2400000.0
21,,1021000303,,5450000.0
22,2232000.0,1021000310,95000.0,4160000.0
23,,1021000312,43000.0,5876000.0
24,5356800.0,1021000313,40000.0,500000.0
25,669600.0,1021000401,,0.0
26,18414000.0,1021000402,4789000.0,44676000.0
27,4017600.0,1021000405,20800.0,1080000.0
28,,102100040502,147000.0,1296000.0
29,,102100040504,115000.0,323000.0
30,,1021000406,678000.0,8944000.0
31,,102100040606,126000.0,1950000.0
32,,1021000408,70200.0,1160000.0
33,2232000.0,1021000409,,0.0
34,,1021000501,,1950000.0
35,,1021000503,,650000.0
36,1249920.0,1021000504,,1900000.0
37,,1021000506,150000.0,10000000.0
38,,1021000604,168000.0,2016000.0
39,4464000.0,1021000607,,9350000.0
40,,1021000608,420000.0,5140000.0
41,,1021000610,11100000.0,13200000.0
42,3906000.0,1021000612,1450000.0,7660000.0
43,5356800.0,1021000701,1800000.0,22612000.0
44,1339200.0,1021000702,26000.0,2112000.0
45,2790000.0,1021000703,500000.0,7900000.0
46,,1021000705,,20000.0
47,,1021000709,8000.0,6074000.0
48,4533750.0,1021000710,,7400000.0
49,1116000.0,1021000711,20000.0,7200000.0
50,5133600.0,1021000802,,710000.0
51,1874880.0,1021000803,,0.0
52,1399464.0,1021000805,,0.0
53,,1021000807,350000.0,9850000.0
54,,1021000808,,0.0
55,,102100080803,,585000.0
56,2046000.0,1021000809,,0.0
57,,1021000810,10000.0,1692000.0
58,2232000.0,1021000811,56000.0,56000.0
59,111600.0,1021000904,10000.0,7520000.0
60,2678400.0,1021000906,38500.0,758000.0
61,2046000.0,1021000909,500000.0,6000000.0
62,,1021001003,,11600000.0
63,1432200.0,1021001004,,0.0
64,697533.48,1021001005,-4000.0,1736000.0
65,3906000.0,1021001007,56000.0,112000.0
66,,1021001008,10000.0,1890000.0
67,4017600.0000000005,1021001009,,0.0
68,446400.0,1021001011,48000.0,1844000.0
69,781200.0,1021001102,,0.0
70,,102100110201,,0.0
71,,1021001105,130000.0,1560000.0
72,1538220.0,1021001107,,9248000.0
73,1804200.0,1021001109,,15720000.0
74,3403800.0,102100110901,-260000.0,10684000.0
75,4017600.0,102100110903,,0.0
76,,102100110904,180000.0,1400000.0
77,5022000.0,1021001110,,0.0
78,,1021001202,450000.0,450000.0
79,1248060.0,1021001205,30000.0,840000.0
80,,1021001206,141000.0,1574400.0
81,3348000.0,1021001208,148000.0,3396000.0
82,,1021001210,2504000.0,12000000.0
83,1162500.0,1021001211,,40000.0
84,3766500.0,1021001301,1070000.0,12000000.0
85,,1021001302,160000.0,300000.0
86,2232000.0,1021001304,,0.0
87,4129200.0,1021001305,50000.0,300000.0
88,,1021001306,,600000.0
89,,1021001307,275000.0,6590000.0
90,,1021001308,1121000.0,1490000.0
91,,1021001309,70000.0,860000.0
92,3124800.0,1021001311,150000.0,0.0
93,,1021001402,105000.0,3420000.0
94,,102100140202,50000.0,3840000.0
95,1674000.0,102100140204,,0.0
96,,1021001403,150000.0,1800000.0
97,4603500.0,1021001405,260000.0,3061000.0
98,,1021001406,150000.0,1800000.0
99,4106880.0,1021001407,,0.0
100,558000.0,1021001408,120000.0,8215000.0
101,5624640.0,1021001501,,0.0
102,,1021001504,8154000.0,12800000.0
103,74400.0,1021001505,5191750.0,54040000.0
104,,1021001507,,1860000.0
105,2901600.0,1021001512,-875000.0,300000.0
106,6398400.0,1021001606,1420000.0,21600000.0
107,108252000.0,1021001607,750000.0,39920000.0
108,,102100160707,-73960000.0,96000000.0
109,7291200.0,1021001609,-300000.0,7700000.0
110,16740000.0,1021001610,,18070000.0
111,,1021001701,2500000.0,1200000.0
112,,1021001704,120000.0,4160000.0
113,,1021001705,110000.0,0.0
114,5580000.0,1021001706,40000.0,0.0
115,111600.0,1021001709,,6440000.0
116,,1021001710,10000.0,3160000.0
117,,102100171003,,0.0
118,,1021001711,500000.0,9200000.0
119,558000.0,1021001713,,4800000.0
120,1674000.0,1021001802,,0.0
121,35991000.0,1021001804,-3800000.0,13830000.0
122,,1021001809,,6000000.0
123,16070400.0,1021001810,,1440000.0
124,7700400.0,1021001901,150000.0,1800000.0
125,2790000.0,1021001902,,0.0
126,2790000.0,1021001907,,450000.0
127,669600.0,1021001908,,1400000.0
128,,1021001909,,0.0
129,186000.0,1021001910,,9728000.0
130,10535040.0,1021001915,,0.0
131,,1021002003,17000.0,300000.0
132,1674000.0,1021002007,,1800000.0
133,,1021002008,,60000.0
134,,1021002010,,120000.0
135,7812000.0,1021002011,,10500000.0
136,,1021002013,,5000000.0
137,,1021002103,,0.0
138,9151200.0,1021002105,1100000.0,78000000.0
139,,1021002106,,0.0
140,2511000.0000000005,1021002107,,160000.0
141,1311300.0,1021002201,212000.0,6744000.0
142,937440.0,1021002202,,150000.0
143,,102100220202,120000.0,640000.0
144,2794650.0,1021002203,1015000.0,4662000.0
145,892800.0,1021002204,186000.0,1410000.0
146,613800.0,1021002205,18000.0,772000.0
147,,1021002207,37800.0,1260000.0
148,4464000.0,1021002208,50000.0,600000.0
149,167400.0,1021002210,5000.0,2662500.0
150,,1021002211,190000.0,5045000.0
151,4292880.0,1021002301,155000.0,4812000.0
152,1562400.0,1021002308,,0.0
153,1740960.0,1021002309,,150000.0
154,,1021002312,302000.0,3704000.0
155,,1021002405,,1210000.0
156,6026400.0,1021002407,,10850000.0
157,14508000.0,1021002501,323500.0,15600000.0
158,3515400.0000000005,1021002502,942000.0,4730000.0
159,976500.0,1021002505,100000.0,4500000.0
160,2232000.0,1021002506,,0.0
161,3571200.0,1021002508,1697000.0,10000000.0
162,,1021002509,40000.0,480002.0
163,1339200.0,1021002510,,0.0
164,,102100251005,,0.0
165,1227600.0,1021002512,55000.0,180000.0
166,624960.0000000001,1021002601,,0.0
167,2594700.0000000005,1021002603,40000.0,160000.0
168,,1021002604,200000.0,2800000.0
169,1071360.0,1021002605,160000.0,4000000.0
170,19418400.0,1021002606,,7200000.0
171,,1021002610,,2800000.0
172,1302000.0,1021002611,60000.0,720000.0
173,,1021002613,150000.0,1800000.0
174,,1021002702,,4800000.0
175,,1021002703,130000.0,1680000.0
176,1004400.0000000001,1021002704,,2180000.0
177,,1021002705,204000.0,420000.0
178,1116000.0,1021002708,,1200000.0
179,1696320.0,1021002710,,1800000.0
180,8035200.0,1021002711,1190000.0,4460000.0
181,779340.0,1021002801,70000.0,2280000.0
182,,1021002802,881000.0,16170000.0
183,2700720.0,1021002803,,1960000.0
184,,1021002804,115500.0,1312000.0
185,12834000.0,1021002805,24000000.0,39600000.0
186,390600.0,1021002807,,0.0
187,1157850.0,1021002810,,90000.0
188,,1021002901,260000.0,3600000.0
189,,1021002903,400000.0,51000.0
190,2650500.0,1021002905,,674000.0
191,937440.0,1021002906,150000.0,4300000.0
192,1285632.0,1021002910,,1472400.0
193,8035200.000000001,1021003003,14000.0,2670000.0
194,279000.0,1021003004,,30000.0
195,,1021003101,,15000000.0
196,18302400.0,1021003103,,4800000.0
197,,1021003104,,13100000.0
198,,102100310402,,360000.0
199,2232000.0,102100310407,120000.0,2470000.0
200,59.52,1021003109,,0.0
201,51150.0,1021003110,,6600000.0
202,,1021003201,360000.0,0.0
203,,1021003203,50000.0,50000.0
204,6696000.0,1021003205,20020000.0,36033600.0
205,,1021003301,,900800.0
206,,1021003308,10000.0,520000.0
207,12153240.0,1021003309,,3710000.0
208,5535360.0,1021003310,-410000.0,16200000.0
209,2723040.0,1021003403,110000.0,1080000.0
210,,1021003407,120000.0,1440000.0
211,,1021003411,20000.0,700000.0
212,837000.0,1021003412,10000.0,100000.0
213,3906000.0,1021003413,,0.0
214,,1021003415,,0.0
215,,1033000301,,320000.0
216,,1033000302,,471000.0
217,,1033000303,,250000.0
218,312480.0,1033000304,25000.0,150000.0
219,892800.0,103300030403,-52000.0,350000.0
220,,1033000305,,480000.0
