code,m_p,gate_p
101,7000.0,4000.0
102,1500.0,1000.0
103,1000.0,1000.0
105,3250.0,3000.0
106,1000.0,1000.0
107,1000.0,1000.0
108,900.0,1000.0
109,1000.0,2250.0
110,2400.0,1800.0
111,700.0,450.0
112,250.0,200.0
113,1300.0,1000.0
114,1100.0,2500.0
115,1000.0,750.0
116,500.0,500.0
117,5000.0,5000.0
118,4500.0,5000.0
119,5000.0,5000.0
120,5000.0,3000.0
121,9000.0,8000.0
122,2000.0,1750.0
123,2000.0,2000.0
124,250.0,250.0
125,500.0,400.0
126,15000.0,2500.0
127,200.0,2000.0
128,2400.0,4000.0
129,2500.0,1500.0
130,1000.0,500.0
131,600.0,1100.0
132,275.0,100.0
133,500.0,200.0
134,500.0,1000.0
135,300.0,300.0
136,300.0,300.0
137,500.0,500.0
138,200.0,200.0
139,200.0,200.0
140,1000.0,500.0
141,1200.0,1000.0
142,1000.0,1000.0
143,1000.0,1000.0
144,2800.0,1500.0
145,1000.0,500.0
146,1000.0,800.0
147,2600.0,2500.0
148,100.0,100.0
149,100.0,100.0
150,400.0,300.0
151,800.0,800.0
152,1750.0,2000.0
153,500.0,500.0
154,500.0,600.0
155,100.0,100.0
156,100.0,100.0
157,2500.0,
158,800.0,700.0
159,2000.0,2000.0
160,,
161,,
162,800.0,600.0
163,3000.0,2000.0
164,200.0,100.0
165,1000.0,500.0
166,200.0,100.0
167,500.0,100.0
168,300.0,300.0
169,1500.0,700.0
170,1000.0,500.0
171,500.0,400.0
