hh,own_value
1013000201,
1013000204,624000.0
1013000206,
1013000210,260000.0
1013000212,
101300021302,
1021000102,
1021000108,
1021000111,
1021000113,
1021000201,
1021000203,
1021000204,
1021000207,
1021000212,
1021000213,
1021000312,
1021000402,
1021000405,364000.0
102100040502,
1021000406,
1021000503,
1021000504,
1021000506,
1021000604,
1021000607,
1021000608,
1021000610,
1021000612,
1021000701,
1021000702,
1021000703,
1021000705,46800.0
1021000710,
1021000711,
1021000805,
1021000807,
102100080803,135200.0
1021000810,
1021000811,
1021000906,
1021001007,
1021001011,
1021001102,
1021001107,
1021001109,
102100110901,
102100110904,
1021001205,
1021001206,
1021001208,
1021001210,
1021001211,
1021001301,
1021001304,
1021001308,
1021001402,
102100140202,
102100140204,
1021001403,
1021001405,
1021001406,
1021001407,
1021001408,
1021001501,
1021001504,
102100150406,
1021001505,
1021001507,
1021001512,
1021001701,
1021001704,
1021001705,
1021001706,
1021001709,
1021001710,
102100171003,
1021001711,
1021001713,
1021001804,
1021001809,
1021001810,
1021001907,
1021001908,
1021001910,
1021001915,
1021002003,
1021002007,
1021002010,
1021002011,
1021002103,
1021002105,
1021002106,
1021002107,
1021002201,
1021002203,78000.0
1021002205,
1021002207,
1021002208,
1021002210,
1021002301,
1021002307,
1021002308,
1021002309,
1021002312,
1021002405,
1021002407,
1021002501,
1021002502,
1021002508,
1021002509,
1021002603,
1021002605,
1021002606,
102100260606,
1021002610,
1021002611,
1021002702,
1021002711,
1021002801,
1021002802,
1021002805,
1021002901,
1021002903,
1021002905,
1021002906,
1021002910,
1021003103,
1021003109,
1021003201,
1021003203,
1021003205,
1021003310,
1021003407,
1021003411,
1021003412,
1033000301,31200.0
1033000302,
1033000304,
1033000307,
1033000506,182000.0
1033000507,
1033000510,
103300051102,41600.0
1041000203,
1041000206,
1041000209,
1041000210,
1041000211,
1041000213,
1043000401,
1043000403,
1043000406,
1043000407,
1043000408,
1043000409,728000.0
104300040906,
104300040908,
1043000410,3182400.0
1043000601,
1043000603,
104300060305,
1043000604,
1043000605,
1043000606,
1043000610,
1043000611,
104300061103,
1043000802,
1043000804,
1043000805,
1043000806,
1043000807,62400.0
104300080702,
1043000808,
1043000809,364000.0
1043000810,
1043000811,
1051000104,
1051000105,
1051000106,
1051000109,218400.0
1051000110,
1051000301,
1051000305,
1051000309,364000.0
1051000310,
105300040602,
105300040605,
105300040607,
1053000407,
1053000408,
1053000410,
1053000801,
1053000802,457600.0
1053000804,
1053000806,
1053000807,
1053000808,
1053001201,
1053001202,
1053001203,
1053001204,
1053001207,
1053001208,
1053001507,
1053001508,
1053001509,
1053001510,1456000.0
1053001512,
1053001513,
1053001902,
1053001903,41600.0
1053001904,
1053001905,
1053001908,
1053002302,520000.0
1053002303,
1053002304,
1053002305,
1053002306,364000.0
1053002307,
1053002308,
1053002602,
1053002605,
105300260602,
1053002607,31200.0
1053002608,
105300260802,
1053002609,156000.0
1053003002,
1053003003,
105300300504,
1053003008,
1053003010,
1053003303,
1053003307,
105300330702,
1053003309,
1053003310,
1053003312,
105300331202,
1063000301,1040000.0
1063000302,
1063000305,
106300030505,
106300030511,
106300030512,
1063000307,
1063000308,
1063000310,
1063000311,
1063000502,
1063000503,
1063000505,
1063000506,
1063000508,
1063000509,
106300051003,
106300051007,
1063000511,
1063000701,
1063000702,291200.0
1063000703,156000.0
1063000704,
1063000705,
1063000706,
1063000707,
1063000709,416000.0
1063000710,
1063000711,
1063000902,
1063000905,
1063000908,
1063000909,
1063000912,
1071000101,
1071000103,
1071000104,
1071000106,
1071000109,
1071000110,436800.0
1071000111,
1071000201,364000.0
1071000205,
1071000207,
1071000208,
1071000209,6240000.0
1071000210,
1073000801,1528800.0
1073000803,
1073000807,2184000.0
1073000808,1232400.0
1073001205,
1073001206,416000.0
1073001209,
1073001210,9360000.0
107300121004,624000.0
1073001601,
1073001602,
1073001604,
1073001605,
1073001608,
1073001609,728000.0
1073001610,
107300161002,
1073001611,
1073002002,
107300200304,
1073002005,
107300200503,
1073002006,
1073002007,520000.0
1073002008,624000.0
1073002010,1747200.0
1073002301,
1073002302,
1073002303,
1073002306,
1073002307,
1073002308,
1073002309,
1073002702,
108100020203,
1081000203,
1081000206,
108100020802,
1081000211,
1081000214,
1081000301,
1081000302,
1081000307,93600.0
1081000308,
1081000309,873600.0
1081000310,546000.0
1083000601,
1083000603,93600.0
1083000604,
1083000609,
1083000610,1612000.0
1083000901,
1083000902,
1083000903,
1083000904,
1083000906,
1083000908,
1083000910,124800.0
1083001302,
1083001303,
108300130403,
1083001307,
1083001309,187200.0
1083001310,
1083001311,
1083001603,676000.0
1083001604,468000.0
1083001606,
1083001608,
1083001610,
1083001611,
1083001612,
1083001613,1300000.0
1083002001,
1083002002,
108300200202,
1083002004,364000.0
1083002006,
1083002007,
1083002008,504400.0
1083002009,
108300200901,
108300200902,
1083002010,728000.0
1083002302,
1083002303,
1083002304,
108300230404,
1083002305,
1083002307,691600.0
1083002309,
1083002703,
1083002704,
1083002707,
1083002709,
108300270903,
1083002710,
1083003002,
1083003006,
1083003008,546000.0
1083003009,124800.0
1083003010,
1083003306,
1083003307,
1083003308,
108300330803,
1083003309,1326000.0
1083003310,
1093000401,234000.0
1093000402,4537000.0
1093000403,436800.0
1093000405,
1093000406,
1093000407,109200.0
1093000408,457600.0
1093000409,
109300040903,520000.0
109300040907,
109300040908,312000.0
1093000410,1040000.0
1101000101,
1101000102,
110100010202,
110100010203,
110100010205,
110100010206,
1101000103,
1101000107,
1103000501,364000.0
1103000502,
1103000503,
1103000504,2730000.0
1103000505,
1103000507,1300000.0
1103000508,
1103000509,
1103000510,
1103000702,
1103000704,
1103000705,561600.0
110300070603,
1103000709,1248000.0
110300070907,
1103000710,
1103000901,
1103000902,
110300090303,
1103000904,520000.0
1103000905,
1103000906,1040000.0
1103000907,
1103000910,
110300091001,
1103001203,
1103001206,
1103001209,104000.0
1103001210,
1113000101,728000.0
1113000103,2184000.0
1113000104,
1113000106,291200.0
1113000107,1146600.0
1113000108,2912000.0
1113000109,1310400.0
1113000110,780000.0
1113000301,
1113000302,676000.0
1113000303,
1113000304,
1113000305,
1113000310,
1113000311,
1113000501,
1113000502,
1113000505,
1113000508,
1113000509,36400.0
1113000510,
1121000103,
1121000105,
1121000107,
1121000108,
1121000110,130000.0
1121000111,
1123000302,
1123000303,78000.0
1123000305,
1123000307,
1123000308,
1123000309,
1123000603,
1123000605,
1123000606,
1123000608,
1123000609,
1131000203,
1131000205,
1131000207,416000.0
1131000209,
1131000210,
1131000212,
113100030302,
1131000404,
1131000405,
1131000406,
1131000409,
1131000410,
1131000413,
1131000414,
1131000604,
1131000608,
1131000609,
1131000610,
1131000704,
1131000705,
1131000706,
1131000710,
1133000801,
113300080104,
1133000802,546000.0
1133000805,
1133000806,
113300100101,
1133001002,
1133001003,
1133001005,
1133001006,156000.0
1133001008,
1133001009,
1133001010,
1133001202,
1133001203,
1133001204,
113300120702,182000.0
1133001209,
1133001210,780000.0
1133001404,
1133001407,
1133001410,
113300141006,
1133001411,
1133001601,
1133001605,
1133001607,
1133001609,
1133001610,
1133001904,
1133001906,
1133001909,
1133001911,
1133002102,
1133002104,
1133002105,
1133002106,
1133002107,
1133002108,
1133002303,
1133002304,
1133002305,
1133002308,
1133002502,
1133002504,
1133002505,
1133002506,
1133002509,156000.0
1143000301,
1143000305,
114300030504,847600.0
114300030505,104000.0
1143000307,335400.0
