,cropID,med_prices,m_p,gate_p
0,wheat,,0.0,0.0
1,Rice,1200.0,3000.0,2400.0
2,Maize,500.0,600.0,650.0
3,Maize,500.0,500.0,300.0
4,Maize,500.0,1800.0,1000.0
5,Finger millet,750.0,1500.0,1000.0
6,Sorghum,666.6666666666666,1000.0,700.0
7,Beans,1000.0,1000.0,800.0
8,Beans,1000.0,1500.0,1000.0
9,Field peas,1000.0,0.0,0.0
10,Cow peas,1100.0,0.0,0.0
11,Pigeon peas,1111.1110868277383,0.0,0.0
12,Chick peas,,0.0,0.0
13,Groundnuts,600.0,500.0,1000.0
14,Groundnuts,600.0,1300.0,1200.0
15,Groundnuts,600.0,3100.0,1500.0
16,Soya beans,1075.0,0.0,0.0
17,Sun flower,800.0,0.0,0.0
18,Simsim,2000.0,1000.0,800.0
19,Cabbage,277.56410785445587,0.0,0.0
20,Tomatoes,683.3333333333333,500.0,400.0
21,Onions,775.0,500.0,400.0
22,Pumpkins,666.6666666666666,1000.0,1000.0
23,Dodo,124.2843137254902,300.0,200.0
24,Eggplants,500.0,500.0,300.0
25,Sugarcane,480.0,0.0,0.0
26,Cotton,1000.0,0.0,0.0
27,Tobbaco,2193.548387096774,0.0,0.0
28,Irish potatoes,450.0,0.0,0.0
29,Sweet potatoes,300.0,1500.0,2000.0
30,Sweet potatoes,300.0,2000.0,4000.0
31,Sweet potatoes,300.0,2000.0,3000.0
32,Cassava,341.6666640589635,1000.0,1000.0
33,Cassava,341.6666640589635,1200.0,1200.0
34,Yam,400.0,0.0,0.0
35,Coco yam,,0.0,0.0
36,Oranges,488.8888888888889,0.0,0.0
37,Paw paw,388.8888888888889,0.0,0.0
38,Pineapples,666.6666666666666,1000.0,700.0
39,Banana food,333.3333333333333,7000.0,5000.0
40,Banana food,333.3333333333333,2000.0,3000.0
41,Banana food,333.3333333333333,1500.0,1500.0
42,Banana food,333.3333333333333,3000.0,0.0
43,Banana beer,103.57142857142857,0.0,0.0
44,Banana sweet,250.0,0.0,0.0
45,Mango,250.0,300.0,200.0
46,Jackfruit,833.3333333333333,0.0,0.0
47,Avacoda,187.5,250.0,200.0
48,Passion fruit,1000.0,1000.0,0.0
49,Coffee all,733.3333333333334,0.0,0.0
50,Cocoa,3000.0,0.0,0.0
51,Tea,220.0,100.0,100.0
52,Vanilla,4000.0,0.0,0.0
53,Others,500.0,0.0,0.0
