hh,own_value
1013000201,
1013000202,
1013000204,
1013000206,
1013000210,
1013000212,2262000.0
101300021302,
1021000102,
1021000108,
1021000111,
1021000113,
1021000201,
1021000203,
1021000207,
1021000212,
1021000213,
1021000312,
1021000402,
1021000405,
102100040502,
1021000406,
1021000503,
1021000504,
1021000506,
1021000604,
1021000607,
1021000608,26000.0
1021000610,
1021000612,
1021000701,
1021000702,
1021000703,
1021000705,
1021000710,
1021000711,
1021000805,
1021000807,
102100080803,2236000.0
1021000810,
1021000811,
1021000906,
1021001003,
1021001004,
1021001007,
1021001011,
1021001102,
1021001105,
1021001107,270400.0
1021001109,234000.0
102100110901,
102100110904,
1021001110,
1021001205,
1021001206,
1021001208,
1021001210,
1021001211,
1021001301,
1021001304,
1021001306,
1021001308,
1021001309,
1021001402,
102100140202,
102100140204,
1021001403,
1021001405,
1021001406,
1021001407,312000.0
1021001408,728000.0
1021001501,
1021001504,
102100150406,
1021001505,
1021001507,
1021001512,
1021001701,
1021001704,572000.0
1021001705,
1021001706,
1021001709,
1021001710,104000.0
102100171003,
1021001711,
1021001713,
1021001804,
1021001809,
1021001810,
1021001902,
1021001907,
1021001908,
1021001910,520000.0
1021001915,
1021002003,
1021002007,
1021002008,
1021002010,
1021002011,
1021002013,
1021002103,
1021002105,52000.0
1021002106,
1021002107,
1021002201,
1021002203,
1021002205,
1021002207,
1021002208,
1021002210,
1021002301,
1021002307,
1021002308,
1021002309,
1021002312,
1021002405,
1021002407,
1021002501,
1021002502,
1021002508,
1021002509,
1021002603,
1021002605,
1021002606,
102100260606,
1021002610,832000.0
1021002611,364000.0
1021002702,
1021002703,
1021002711,
1021002801,
1021002802,
1021002805,
1021002810,156000.0
1021002901,
1021002903,
1021002905,
1021002906,
1021002910,
1021003103,208000.0
1021003109,
1021003201,
1021003203,
1021003205,
1021003309,
1021003310,
1021003403,
1021003407,
1021003411,
1021003412,
1021003415,
1033000301,1242800.0
1033000302,4524000.0
1033000303,858000.0
1033000304,1248000.0
103300030403,925600.0
1033000307,1596400.0
1033000308,1820000.0
1033000310,938080.0
1033000504,858000.0
1033000505,1300000.0
1033000506,1570400.0
1033000507,2912000.0
1033000509,1872000.0
1033000510,1440400.0
