,familysize,hh
1021003309,22,1021003309
1021001205,22,1021001205
1113000106,22,1113000106
4113000910,22,4113000910
1083001310,19,1083001310
212300091004,19,212300091004
108300330803,18,108300330803
2205300090607,18,2205300090607
4021000202,18,4021000202
3083000110,18,3083000110
1123000605,17,1123000605
1021002502,16,1021002502
203100040102,16,203100040102
1153000405,16,1153000405
2243001310,16,2243001310
3181000111,16,3181000111
2173000908,16,2173000908
3108300270906,15,3108300270906
1063000707,15,1063000707
212300111005,15,212300111005
1053000802,15,1053000802
2013000404,15,2013000404
2083000705,15,2083000705
4063001008,15,4063001008
1051000110,15,1051000110
1083003309,15,1083003309
1053000808,14,1053000808
2113000707,14,2113000707
30208300050203,14,30208300050203
3013000301,14,3013000301
2083000508,14,2083000508
3213002105,14,3213002105
1143000310,14,1143000310
1123000305,14,1123000305
3181000109,14,3181000109
4133000513,14,4133000513
2113000905,13,2113000905
1033000302,13,1033000302
2013000809,13,2013000809
2403300060102,13,2403300060102
4063001007,13,4063001007
1071000106,13,1071000106
2013000607,13,2013000607
2013000602,13,2013000602
4193003509,13,4193003509
1083002002,13,1083002002
1053001508,13,1053001508
3063000708,13,3063000708
2031000409,13,2031000409
2083000506,13,2083000506
3073002509,13,3073002509
3173001110,13,3173001110
2243001309,13,2243001309
3073001201,13,3073001201
2043001501,13,2043001501
110100010205,13,110100010205
3153001610,13,3153001610
1021001908,13,1021001908
1071000109,13,1071000109
3111000110,13,3111000110
1081000310,13,1081000310
1121000108,13,1121000108
3073002308,12,3073002308
4193003503,12,4193003503
2091000609,12,2091000609
3073001710,12,3073001710
2093003310,12,2093003310
107300161002,12,107300161002
2031000114,12,2031000114
1063000310,12,1063000310
2013000410,12,2013000410
4103002610,12,4103002610
2103000602,12,2103000602
4153000903,12,4153000903
3043000911,12,3043000911
3103001209,12,3103001209
4151000208,12,4151000208
4063001308,12,4063001308
1083003002,12,1083003002
3031000205,12,3031000205
3023003505,12,3023003505
2103300030402,12,2103300030402
2203000110,12,2203000110
1021003310,12,1021003310
30201300080915,12,30201300080915
4153000703,12,4153000703
317300091004,12,317300091004
4153000607,12,4153000607
4113000909,12,4113000909
4171000801,12,4171000801
2143000207,12,2143000207
2153000608,12,2153000608
3041000406,12,3041000406
4101000110,12,4101000110
2053000410,12,2053000410
3181000106,12,3181000106
2013000604,12,2013000604
2233002201,12,2233002201
2211100030707,12,2211100030707
3071000203,12,3071000203
1021002011,12,1021002011
3173001102,12,3173001102
4093000904,12,4093000904
3023000809,12,3023000809
4033000603,12,4033000603
2081000101,12,2081000101
2013000603,12,2013000603
2053001305,12,2053001305
1113000510,11,1113000510
1143000309,11,1143000309
3023000503,11,3023000503
2073000504,11,2073000504
2113000710,11,2113000710
2081000110,11,2081000110
240430010030406,11,240430010030406
4013000504,11,4013000504
1063000909,11,1063000909
3041000711,11,3041000711
220330033050102,11,220330033050102
1033000310,11,1033000310
1043000810,11,1043000810
4113000603,11,4113000603
2031000404,11,2031000404
2053003004,11,2053003004
3043001409,11,3043001409
1053001507,11,1053001507
4163000710,11,4163000710
215300060705,11,215300060705
4151000210,11,4151000210
2053000403,11,2053000403
2223002210,11,2223002210
4183002010,11,4183002010
1063000304,11,1063000304
2083000809,11,2083000809
220530013070304,11,220530013070304
2153000710,11,2153000710
3111000111,11,3111000111
221530004060305,11,221530004060305
2043001202,11,2043001202
3093000207,11,3093000207
1071000209,11,1071000209
1133002502,11,1133002502
108300060803,11,108300060803
3023001605,11,3023001605
4113000609,11,4113000609
4193003506,11,4193003506
2143000202,11,2143000202
1123000311,11,1123000311
3111000105,11,3111000105
2418300230210,11,2418300230210
2143000310,11,2143000310
4173001402,11,4173001402
1103001203,11,1103001203
205300090611,11,205300090611
1123000302,11,1123000302
3073001702,11,3073001702
4051000208,11,4051000208
2053001708,11,2053001708
1113000103,11,1113000103
3213002802,11,3213002802
2053000904,11,2053000904
2033001809,11,2033001809
4061000311,11,4061000311
4033000609,11,4033000609
2113000906,11,2113000906
3073002006,11,3073002006
4183002310,11,4183002310
222300221011,11,222300221011
1053001510,11,1053001510
3031000202,11,3031000202
1063000308,11,1063000308
1073002005,11,1073002005
2223002206,11,2223002206
307100070405,11,307100070405
4163000705,11,4163000705
203300080303,11,203300080303
1021002805,11,1021002805
2081000109,11,2081000109
2053000909,11,2053000909
4043001210,11,4043001210
2023000509,11,2023000509
2051000105,11,2051000105
3043000905,10,3043000905
107300200304,10,107300200304
4043000809,10,4043000809
4073000506,10,4073000506
2033002310,10,2033002310
4073000310,10,4073000310
3073002207,10,3073002207
2233001402,10,2233001402
4073000509,10,4073000509
1063000710,10,1063000710
4053000608,10,4053000608
3021000210,10,3021000210
2053003009,10,2053003009
221230011100503,10,221230011100503
3173000909,10,3173000909
1051000105,10,1051000105
4133000205,10,4133000205
2113000410,10,2113000410
3021000205,10,3021000205
2083000507,10,2083000507
2103000607,10,2103000607
4073000510,10,4073000510
3051000107,10,3051000107
2053000902,10,2053000902
2043001209,10,2043001209
2123001110,10,2123001110
2113000604,10,2113000604
2173000912,10,2173000912
2213000610,10,2213000610
2033003310,10,2033003310
4153000906,10,4153000906
1123000310,10,1123000310
2083000807,10,2083000807
2033002805,10,2033002805
2163000307,10,2163000307
3093000106,10,3093000106
3083000202,10,3083000202
3051000108,10,3051000108
3071000211,10,3071000211
308300010901,10,308300010901
2083000706,10,2083000706
308300010903,10,308300010903
3201300080907,10,3201300080907
4071000203,10,4071000203
3063000711,10,3063000711
1083003303,10,1083003303
1043000410,10,1043000410
1103000710,10,1103000710
2123001309,10,2123001309
2211100030305,10,2211100030305
1073001210,10,1073001210
1043000804,10,1043000804
210300070905,10,210300070905
3103000811,10,3103000811
2103000610,10,2103000610
1093000410,10,1093000410
3173001103,10,3173001103
2233002902,10,2233002902
3073002309,10,3073002309
2041000606,10,2041000606
1103000503,10,1103000503
2305100010207,10,2305100010207
2103000704,10,2103000704
2053001306,10,2053001306
1083000910,10,1083000910
402300200604,10,402300200604
3023003508,10,3023003508
320300241004,10,320300241004
4153000905,10,4153000905
4113000905,10,4113000905
4103002902,10,4103002902
4183001105,10,4183001105
3173001008,10,3173001008
2053001309,10,2053001309
4073000308,10,4073000308
3031000213,10,3031000213
1081000307,10,1081000307
3041000210,10,3041000210
4033000411,10,4033000411
1083003310,10,1083003310
2013000403,10,2013000403
105300040607,10,105300040607
4113000608,10,4113000608
3113000402,10,3113000402
2033002803,10,2033002803
4103002907,10,4103002907
2243001302,10,2243001302
3083000207,10,3083000207
2163000310,10,2163000310
4083000206,10,4083000206
3031000214,10,3031000214
4193003502,10,4193003502
3063000609,10,3063000609
2151000101,10,2151000101
4103002901,10,4103002901
317300091005,10,317300091005
4021000207,10,4021000207
3181000103,10,3181000103
1021001907,10,1021001907
30110300050207,10,30110300050207
4113000607,10,4113000607
2053000407,10,2053000407
1053002610,10,1053002610
2043001206,10,2043001206
2103000606,9,2103000606
4111000210,9,4111000210
2051000108,9,2051000108
2053000408,9,2053000408
1083000908,9,1083000908
30104300080602,9,30104300080602
411300070603,9,411300070603
1053000807,9,1053000807
2013000401,9,2013000401
2113000607,9,2113000607
4063000810,9,4063000810
4153000408,9,4153000408
2013000407,9,2013000407
2153000203,9,2153000203
4183002001,9,4183002001
1021001507,9,1021001507
2023000705,9,2023000705
313300010206,9,313300010206
2073000607,9,2073000607
3073001210,9,3073001210
114300030505,9,114300030505
1133002108,9,1133002108
1021001505,9,1021001505
3103000903,9,3103000903
3033003311,9,3033003311
4073000710,9,4073000710
2031000410,9,2031000410
3133000202,9,3133000202
2143000308,9,2143000308
2233001403,9,2233001403
2113000706,9,2113000706
4063001003,9,4063001003
3043001406,9,3043001406
3203002109,9,3203002109
3073001701,9,3073001701
4183002302,9,4183002302
1103000902,9,1103000902
2033001804,9,2033001804
2053001702,9,2053001702
4113000602,9,4113000602
3103000807,9,3103000807
3063000709,9,3063000709
3023001603,9,3023001603
4063001107,9,4063001107
1033000510,9,1033000510
3043001407,9,3043001407
3153001609,9,3153001609
2041000209,9,2041000209
3113000408,9,3113000408
3133000206,9,3133000206
2143000203,9,2143000203
4073000907,9,4073000907
4051000203,9,4051000203
2073000610,9,2073000610
2151000106,9,2151000106
316300160303,9,316300160303
2053000404,9,2053000404
4051000510,9,4051000510
1053002605,9,1053002605
4063000803,9,4063000803
2013000805,9,2013000805
1021001304,9,1021001304
3103000904,9,3103000904
204100020809,9,204100020809
105300040605,9,105300040605
3203001806,9,3203001806
4183002306,9,4183002306
2113000405,9,2113000405
2107300200304,9,2107300200304
4023001607,9,4023001607
1093000409,9,1093000409
2111000305,9,2111000305
3133000205,9,3133000205
3203003007,9,3203003007
