wage_total,hh,bs_profit,other_inc,profit_agr,profit_ls,total_agrls,total
315.46567499971013,1013000201.0,2068.120407129797,1167.4249774826144,,,,3551.0110596121217
,1013000202.0,,52.57278044292568,,,,52.57278044292568
,1013000204.0,52.95934500500603,113.64998125161873,,,,166.60932625662474
701.0348333326892,1013000206.0,65.7159755536571,1043.7243176169068,,,,1810.4751265032533
,1013000210.0,,386.5645620803359,0.0,100.50678614088733,100.50678614088733,487.0713482212233
1762.7344030863314,1013000212.0,46.387747449640294,1948.2853928848929,,,,3757.4075434208644
,101300021302.0,34.790810587230226,719.0100854694248,,,,753.800896056655
24070.167266486013,1021000102.0,1372.3041953851925,8890.984927847725,,,,34333.45638971893
,1021000108.0,301.520358422662,5574.260985198443,,,,5875.781343621105
4061.537212637569,1021000111.0,378.83327083872916,14921.392096300964,,,,19361.762579777263
,1021000113.0,,5276.606272396584,,,,5276.606272396584
841.2417999992269,1021000201.0,,0.0,,,,841.2417999992269
525.7761249995169,1021000203.0,,77.31291241606719,,,,603.0890374155841
978.317593712914,1021000204.0,,0.0,,,,978.317593712914
,1021000207.0,61.85032993285375,519.5427714359714,,,,581.3931013688251
350.5174166663446,1021000212.0,989.6052789256598,5759.811974997005,,,,7099.934670589009
,1021000213.0,1055.3212544793166,3154.366826575541,,,,4209.688081054857
,1021000312.0,23.193873724820147,1894.1663541936457,,,,1917.3602279184659
3958.6143979836793,1021000313.0,,0.0,,,,3958.6143979836793
1226.8109583322062,1021000401.0,,0.0,,,,1226.8109583322062
701.0348333326892,1021000402.0,154.62582483213438,2232.4103460139395,,,,3088.0710041787634
3925.795066663059,1021000405.0,,417.4897270467627,,,,4343.284793709821
420.62089999961347,102100040502.0,104.37243176169069,2483.677311366158,,,,3008.670643127462
560.8278666661514,1021000406.0,75.76665416774583,170.47497187742812,,,,807.0694927113254
,1021000503.0,,3479.0810587230226,,,,3479.0810587230226
157.7328374998551,1021000504.0,,154.62582483213438,,,,312.3586623319895
,1021000506.0,-579.8468431205038,2319.387372482015,,,,1739.5405293615113
,1021000604.0,152.6930020217327,773.1291241606717,,,,925.8221261824044
,1021000607.0,,3285.7987776828554,,,,3285.7987776828554
,1021000608.0,309.2516496642687,1298.8569285899284,,,,1608.1085782541973
,1021000610.0,231.93873724820156,3873.376912044965,,,,4105.315649293167
2173.207983331336,1021000612.0,193.28228104016796,2690.489352079137,,,,5056.979616450641
2839.1910749973913,1021000701.0,966.4114052008397,23193.87372482015,,,,26999.47620501838
701.0348333326892,1021000702.0,11.983501424490411,2790.996138220025,,,,3504.0144729772046
,1021000703.0,15.462582483213437,2350.312537448442,,,,2365.7751199316554
953.4073733324573,1021000705.0,,0.0,,,,953.4073733324573
1402.0696666653785,1021000710.0,,14225.57588455636,2.7963589004918408,,2.7963589004918408,15630.44191012223
2103.104499998068,1021000711.0,14.689453359052765,3154.366826575541,,,,5272.160779932661
602.8899566661128,1021000805.0,,0.0,,,,602.8899566661128
1051.5522499990338,1021000807.0,77.31291241606719,2841.249531290469,,,,3970.11469370557
,102100080803.0,,483.20570260041984,1138.9803914911852,272.30490128569693,1411.285292776882,1894.4909953773017
,1021000810.0,,966.4114052008397,,,,966.4114052008397
1261.8626999988405,1021000811.0,,0.0,,,,1261.8626999988405
1682.4835999984539,1021000906.0,315.05011809547375,1113.3059387913672,,,,3110.839656885295
981.4487666657648,1021001003.0,,2319.387372482015,,,,3300.8361391477797
350.5174166663446,1021001004.0,,579.8468431205038,,,,930.3642597868484
981.4487666657648,1021001007.0,181.68534417775783,188.6435062952039,,,,1351.7776171387266
701.0348333326892,1021001011.0,1.1596936862410077,193.28228104016796,,,,895.4768080590982
701.0348333326892,1021001102.0,92.77549489928059,865.9046190599522,,,,1659.714947291922
1051.5522499990338,1021001105.0,,0.0,,,,1051.5522499990338
455.67264166624784,1021001107.0,,1519.9718580998804,,,,1975.6444997661283
1261.8626999988405,1021001109.0,,2271.066802221973,-14.29702626568169,0.0,-14.29702626568169,3518.6324759551317
7290.7622666599655,102100110901.0,1863.241189227219,27793.992013576153,,,,36947.995469463334
,102100110904.0,494.8026394628299,738.3383135734415,,,,1233.1409530362714
881.5513029158566,1021001110.0,,0.0,,,,881.5513029158566
,1021001202.0,313.11729528507203,8175.840487999104,,,,8488.957783284175
1402.0696666653785,1021001205.0,,1059.1869001001203,,,,2461.256566765499
,1021001206.0,104.37243176169069,560.5186150164869,,,,664.8910467781776
,1021001208.0,193.28228104016796,2149.298965166668,,,,2342.581246206836
,1021001210.0,-1121.0372300329739,4375.910842749402,,,,3254.8736127164284
1051.5522499990338,1021001211.0,239.67002848980823,773.1291241606717,,,,2064.3514026495136
245.3621916664412,1021001301.0,-193.28228104016796,8427.107453351322,,,,8479.187363977595
175.2587083331723,1021001302.0,197.1479266609713,193.28228104016796,,,,565.6889160343115
2278.3632083312395,1021001304.0,,1855.5098979856125,,,,4133.8731063168525
2804.139333330757,1021001305.0,908.4267208887892,367.23633397631914,,,,4079.802388195865
3106.285346497146,1021001306.0,,0.0,,,,3106.285346497146
,1021001308.0,291.8562443706536,386.5645620803359,,,,678.4208064509895
,1021001309.0,23.193873724820147,278.3264846978418,,,,301.52035842266196
,1021001402.0,,1202.2157880698446,,,,1202.2157880698446
,102100140202.0,,2937.890671810553,,,,2937.890671810553
,102100140204.0,,0.0,,,,0.0
1426.6058858320223,1021001403.0,17.395405293615113,30.925164966426873,,,,1474.9264560920642
557.322692499488,1021001405.0,27.059519345623514,324.7142321474821,,,,909.0964439925935
420.62089999961347,1021001406.0,43.29523095299762,0.0,,,,463.91613095261107
490.7243833328824,1021001407.0,146.89453359052763,0.0,,,,637.61891692341
646.7046337494057,1021001408.0,,2164.761547649881,,,,2811.4661813992866
2068.0527583314333,1021001501.0,,0.0,,,,2068.0527583314333
,1021001504.0,328.5798777682855,5566.529693956836,,,,5895.109571725122
876.2935416658612,102100150406.0,57.98468431205038,664.8910467781777,,,,1599.1692727560894
245.3621916664412,1021001505.0,,7054.803257966129,,,,7300.165449632571
1402.0696666653785,1021001507.0,,0.0,,,,1402.0696666653785
490.7243833328824,1021001512.0,-444.54924639238624,0.0,,,,46.175136940496145
,1021001701.0,69.58162117446045,2937.890671810553,,,,3007.4722929850136
,1021001704.0,11.596936862410073,201.01357228177463,,,,212.6105091441847
1121.6557333323028,1021001705.0,,0.0,,,,1121.6557333323028
420.62089999961347,1021001706.0,,193.28228104016796,,,,613.9031810397814
350.5174166663446,1021001709.0,,780.8604154022785,,,,1131.377832068623
,1021001710.0,,2937.890671810553,,,,2937.890671810553
1051.5522499990338,102100171003.0,,0.0,,,,1051.5522499990338
,1021001711.0,-158.49147045293768,2071.9860527506007,,,,1913.494582297663
981.4487666657648,1021001713.0,1159.6936862410075,1438.020170938849,,,,3579.162623845621
