,wage_total,hh,bs_profit,other_inc
0,816075.0000000001,1013000201,5350000.0,3020000.0
1,,1013000202,,136000.0
2,,1013000204,137000.0,294000.0
3,2176200.0,1013000206,170000.0,2700000.0
4,,1013000210,,1000000.0
5,4560000.0,1013000212,120000.0,5040000.0
6,,101300021302,90000.0,1860000.0
7,62266875.0,1021000102,3550000.0,23000000.0
8,,1021000108,780000.0,14420000.0
9,10506750.0,1021000111,980000.0,38600000.0
10,,1021000113,,13650000.0
11,2611440.0,1021000201,,0.0
12,1360125.0000000002,1021000203,,200000.0
13,3036960.0,1021000204,,0.0
14,,1021000207,160000.0,1344000.0
15,1088100.0,1021000212,2560000.0,14900000.0
16,,1021000213,2730000.0,8160000.0
17,,1021000312,60000.0,4900000.0
18,12288600.0,1021000313,,0.0
19,3173625.0000000005,1021000401,,0.0
20,1813500.0000000002,1021000402,400000.0,5775000.0
21,12186720.000000002,1021000405,,1080000.0
22,1305720.0,102100040502,270000.0,6425000.0
23,1450800.0000000002,1021000406,196000.0,441000.0
24,,1021000503,,9000000.0
25,408037.50000000006,1021000504,,400000.0
26,,1021000506,-1500000.0,6000000.0
27,,1021000604,395000.0,2000000.0
28,,1021000607,,8500000.0
29,,1021000608,800000.0,3360000.0
30,,1021000610,600000.0,10020000.0
31,5839470.0,1021000612,500000.0,6960000.0
32,7344675.000000001,1021000701,2500000.0,60000000.0
33,1813500.0000000002,1021000702,31000.0,7220000.0
34,,1021000703,40000.0,6080000.0
35,2466360.0,1021000705,,0.0
36,3627000.0000000005,1021000710,,36800000.0
37,6528600.000000001,1021000711,38000.0,8160000.0
38,1559610.0,1021000805,,0.0
39,2720250.0000000005,1021000807,200000.0,7350000.0
40,,102100080803,,1250000.0
41,,1021000810,,2500000.0
42,3808350.0000000005,1021000811,,0.0
43,4352400.0,1021000906,815000.0,2880000.0
44,3046680.0000000005,1021001003,,6000000.0
45,1088100.0,1021001004,,1500000.0
46,2538900.0,1021001007,470000.0,488000.0
47,2176200.0,1021001011,3000.0,500000.0
48,1813500.0000000002,1021001102,240000.0,2240000.0
49,3264300.0000000005,1021001105,,0.0
50,1414530.0000000002,1021001107,,3932000.0
51,3917160.0000000005,1021001109,,5875000.0
52,18860400.0,102100110901,4820000.0,71900000.0
53,,102100110904,1280000.0,1910000.0
54,2280476.25,1021001110,,0.0
55,,1021001202,810000.0,21150000.0
56,3971565.0000000005,1021001205,,2740000.0
57,,1021001206,270000.0,1450000.0
58,,1021001208,500000.0,5560000.0
59,,1021001210,-2900000.0,11320000.0
60,3264300.0000000005,1021001211,620000.0,2000000.0
61,634725.0,1021001301,-500000.0,21800000.0
62,453375.00000000006,1021001302,510000.0,500000.0
63,5893875.0,1021001304,,4800000.0
64,7254000.000000001,1021001305,2350000.0,950000.0
65,8035618.500000001,1021001306,,0.0
66,,1021001308,755000.0,1000000.0
67,,1021001309,60000.0,720000.0
68,,1021001402,,3110000.0
69,,102100140202,,7600000.0
70,,102100140204,,0.0
71,3690472.5000000005,1021001403,45000.0,80000.0
72,1441732.5000000002,1021001405,70000.0,840000.0
73,1305720.0,1021001406,112000.0,0.0
74,1523340.0000000002,1021001407,380000.0,0.0
75,1672953.75,1021001408,,5600000.0
76,5730660.0,1021001501,,0.0
77,,1021001504,850000.0,14400000.0
78,2266875.0,102100150406,150000.0,1720000.0
79,634725.0,1021001505,,18250000.0
80,4352400.0,1021001507,,0.0
81,1341990.0000000002,1021001512,-1150000.0,0.0
82,,1021001701,180000.0,7600000.0
83,,1021001704,30000.0,520000.0
84,2901600.0000000005,1021001705,,0.0
85,1088100.0,1021001706,,500000.0
86,997425.0,1021001709,,2020000.0
87,,1021001710,,7600000.0
88,2720250.0000000005,102100171003,,0.0
89,,1021001711,-410000.0,5360000.0
90,2538900.0,1021001713,3000000.0,3720000.0
91,4352400.0,1021001802,,0.0
92,23303475.000000004,1021001804,1000000.0,102000000.0
93,,1021001809,1180000.0,13005000.0
94,3717675.0,1021001810,1180000.0,4000000.0
95,4896450.0,1021001902,,0.0
96,9067500.0,1021001907,,0.0
97,2575170.0000000005,1021001908,,2700000.0
98,3173625.0000000005,1021001910,,6320000.0
99,1178775.0,1021001915,,0.0
100,,1021002003,100000.0,16320000.0
101,5440500.000000001,1021002007,,1920000.0
102,,1021002008,220000.0,2300000.0
103,3445650.0000000005,1021002010,464000.0,12370000.0
104,2176200.0,1021002011,,1840000.0
105,,1021002013,,14000000.0
106,,1021002103,50000.0,420000.0
107,10182802.5,1021002105,550000.0,36000000.0
108,,1021002106,,0.0
109,11334375.000000002,1021002107,,0.0
110,1414530.0000000002,1021002201,270000.0,4340000.0
111,4805775.0,1021002203,-285000.0,6000000.0
112,3264300.0000000005,1021002204,,3600000.0
113,,1021002205,120000.0,3120000.0
114,,1021002207,-132000.0,7400000.0
115,6093360.000000001,1021002208,350000.0,2200000.0
116,2393820.0,1021002210,,1799000.0
117,2919735.0000000005,1021002301,,0.0
118,10663380.0,1021002307,,0.0
119,,1021002308,394000.0,4800000.0
120,3690472.5000000005,1021002309,,0.0
121,,1021002312,-25000.0,7160000.0
122,,1021002405,,550000.0
123,6347250.000000001,1021002407,,10800000.0
124,5440500.000000001,1021002501,-120000.0,10000000.0
125,4533750.0,1021002502,-625000.0,9900000.0
126,,1021002508,90000.0,9940000.0
127,,1021002509,100000.0,1250000.0
128,,1021002603,-130000.0,1100000.0
129,1160640.0000000002,1021002605,300000.0,5400000.0
130,7290270.000000001,1021002606,,36000.0
131,,102100260606,120000.0,0.0
132,,1021002610,,2260000.0
133,997425.0000000001,1021002611,,600000.0
134,,1021002702,8200000.0,15900000.0
135,,1021002703,70000.0,3318000.0
136,2425556.25,1021002711,,560000.0
137,2393820.0,1021002801,,4670000.0
138,580320.0,1021002802,-8287500.0,12501500.0
139,13057200.0,1021002804,,15600000.0
140,5440645.080000001,1021002805,29500000.0,123000000.0
141,,1021002810,,8170000.0
142,,1021002901,570000.0,18000000.0
143,,1021002903,750000.0,28800000.0
144,1133437.5000000002,1021002905,,0.0
145,,1021002906,,2500000.0
146,1088100.0,1021002910,98000.0,3600000.0
147,3481920.0000000005,1021003004,,0.0
148,16774875.000000002,1021003103,,1200000.0
149,5259150.0,1021003109,,0.0
150,,1021003201,290000.0,990000.0
151,,1021003203,590000.0,800000.0
152,,1021003205,1320000.0,18300000.0
153,1840702.5000000002,1021003403,300000.0,0.0
154,,1021003407,235000.0,0.0
155,,1021003411,20000.0,240000.0
156,897682.5000000001,1021003412,,0.0
157,4787640.0,1021003415,,80000.0
158,,1033000301,28000.0,1076000.0
159,,1033000302,,1280000.0
160,,1033000303,,170000.0
161,,1033000304,,640000.0
162,,103300030403,67000.0,700000.0
163,,1033000307,82000.0,1144000.0
164,,1033000308,,260000.0
165,,1033000310,,200000.0
166,2176200.0,1033000504,,750000.0
167,,1033000505,125000.0,460000.0
168,,1033000506,60000.0,1930000.0
169,,1033000507,270000.0,3200000.0
170,,1033000509,,364000.0
171,,1033000510,,240000.0
172,,1033000511,120000.0,500000.0
173,,103300051102,63000.0,4750000.0
174,8704800.0,1041000203,,1100000.0
175,1722825.0000000002,1041000204,,0.0
176,5440500.000000001,1041000206,,50000.0
177,,1041000207,,650000.0
178,2085525.0000000002,1041000209,,3610000.0
179,,1041000210,91000.0,2280000.0
180,2720250.0000000005,1041000211,,0.0
181,906750.0000000001,1041000213,135000.0,800000.0
182,1088100.0,1043000401,,480000.0
183,,1043000402,,280000.0
184,,1043000403,59000.0,950000.0
185,362700.00000000006,1043000406,,250000.0
186,10663380.0,1043000407,400000.0,5480000.0
187,3291502.5,1043000408,,0.0
188,,1043000409,920000.0,600000.0
189,,104300040906,100000.0,3620000.0
190,,104300040908,,2100000.0
191,816075.0000000001,1043000410,,14736000.0
192,2611440.0,1043000601,,4500000.0
193,6347250.000000001,1043000603,4000.0,2200000.0
194,3354975.0,104300060303,,0.0
195,3717675.0000000005,104300060305,,360002.0
196,3237097.5,1043000604,40000.0,630000.0
197,800000.0,1043000605,,500000.0
198,544050.0,1043000606,,0.0
199,1056000.0,1043000607,,150000.0
200,2266875.0000000005,1043000610,100000.0,2980000.0
201,19948500.0,1043000611,,570000.0
202,1904175.0000000002,104300061103,,200000.0
203,,1043000802,110000.0,360000.0
204,4352400.0,1043000804,,40000.0
205,4474140.0,1043000805,46000.0,390000.0
206,,1043000806,,2800000.0
207,2448225.0,1043000807,,155000.0
208,5803200.000000001,104300080702,,0.0
209,1813500.0000000002,1043000808,90000.0,4550000.0
210,14400000.0,1043000809,,2100000.0
211,,1043000810,210000.0,750000.0
212,,1043000811,68000.0,840000.0
213,3627000.0000000005,1051000104,350000.0,3200000.0
214,,1051000105,7835000.0,16300000.0
215,362700.00000000006,1051000106,,1500000.0
216,4533750.0,1051000109,,8800000.0
217,,1051000110,190000.0,8820000.0
218,,1051000301,50000.0,270000.0
219,12059775.000000002,1051000305,2650000.0,30000000.0
220,,1051000309,3550000.0,3600000.0
221,,1051000310,120000.0,9250000.0
222,,1053000402,,320000.0
223,,1053000403,,670000.0
224,,1053000404,,260000.0
225,1813500.0000000002,1053000406,,0.0
226,5803200.000000001,105300040602,215000.0,3330000.0
227,3264300.0000000005,105300040605,,100000.0
228,,105300040607,,7300000.0
229,,1053000407,,1000000.0
230,,1053000408,150000.0,650000.0
231,,1053000409,,220000.0
232,,1053000410,,3000000.0
233,,1053000801,185500.0,2500000.0
234,906750.0,1053000802,200000.0,30530000.0
235,,1053000804,690000.0,2350000.0
236,6528600.000000001,1053000805,,350000.0
237,,1053000806,,4280000.0
238,,1053000807,,1850000.0
239,,1053000808,167000.0,837000.0
240,,1053000809,,400000.0
241,10881000.000000002,1053001201,,140000.0
242,362700.00000000006,1053001202,20000.0,720000.0
243,652860.0,1053001203,,790000.0
244,,1053001204,,2400000.0
245,,1053001206,475000.0,5000000.0
246,453375.00000000006,1053001207,,250000.0
247,,1053001208,-144000.0,3400000.0
248,,1053001210,,800000.0
249,100000.0,1053001503,,145000.0
250,,1053001505,,200000.0
251,,1053001507,42000.0,1630000.0
252,,1053001508,,6030000.0
253,,1053001509,,4800000.0
254,,1053001510,,26000000.0
255,,1053001512,85000.0,4230000.0
256,,1053001513,55000.0,1000000.0
257,,105300151301,,2300000.0
258,,1053001902,,550000.0
259,,1053001903,,800000.0
260,,1053001904,,500000.0
261,,1053001905,,946000.0
262,2883465.0000000005,1053001906,,920000.0
263,,1053001907,,890000.0
264,,1053001908,,1000000.0
265,,1053001909,,340000.0
266,,1053001910,,840000.0
267,2400000.0,1053002302,,1425000.0
268,,1053002303,,85000.0
269,1200000.0,1053002304,,0.0
270,,1053002305,2330000.0,12520000.0
271,3627000.0000000005,1053002306,,540000.0
272,,1053002307,,570000.0
273,,1053002308,720000.0,13455000.0
274,,1053002309,,950000.0
275,,1053002602,134000.0,670000.0
276,,1053002603,,187000.0
277,,1053002605,8910000.0,3340000.0
278,,1053002606,96000.0,1020000.0
279,870480.0,105300260602,,150000.0
280,,1053002607,86000.0,1350000.0
281,870480.0000000001,1053002608,,1500000.0
282,,105300260802,390000.0,40500000.0
283,,105300260806,,0.0
284,1088100.0,1053002609,,820000.0
285,,1053002610,,480000.0
286,,1053003002,200000.0,1800000.0
287,,1053003003,,820000.0
288,,105300300504,350000.0,5400000.0
289,,1053003006,,100000.0
290,,1053003008,,600000.0
291,,1053003010,,4100000.0
292,,1053003303,223000.0,1950000.0
293,70000.0,1053003304,,520000.0
294,,1053003305,,350000.0
295,1088100.0,1053003306,,540000.0
296,,1053003307,20000.0,1910000.0
297,6528600.000000001,105300330702,43000.0,1160000.0
298,,1053003309,,2200000.0
299,,1053003310,,2350000.0
300,1360125.0000000002,1053003312,,1430000.0
301,,105300331202,,250000.0
302,1813500.0000000002,1063000301,,1500000.0
303,3264300.0000000005,1063000302,,0.0
304,,1063000304,49000.0,420000.0
305,2003917.5000000002,1063000305,590000.0,13000000.0
306,,106300030505,150000.0,24550000.0
307,,106300030511,1230000.0,3600000.0
308,1042762.5000000001,106300030512,,550000.0
309,,1063000307,,200000.0
310,5114070.0,1063000308,,1200000.0
311,,1063000310,,2780000.0
312,,1063000311,,750000.0
313,,1063000502,230000.0,673000.0
314,1200000.0,1063000503,497000.0,4620000.0
315,,1063000504,,144000.0
316,1450800.0000000002,1063000505,90000.0,140000.0
317,,1063000506,,220000.0
318,,1063000508,500000.0,490000.0
319,2880000.0,1063000509,,750000.0
320,906750.0000000001,1063000510,6000.0,130000.0
321,1453375.0,106300051003,20000.0,700000.0
322,,106300051004,305000.0,570000.0
323,5621850.000000001,106300051007,,500000.0
324,,1063000511,,140000.0
325,2538900.0,1063000701,,1060000.0
326,,1063000702,,2920000.0
327,1020480.0000000001,1063000703,,1450000.0
328,2992275.0,1063000704,,680000.0
329,,1063000705,,830000.0
330,2901600.0000000005,1063000706,38000.0,460000.0
331,,1063000707,,1500000.0
332,,1063000709,,1380000.0
333,,1063000710,,8000000.0
334,,1063000711,40500.0,340000.0
335,240000.0,1063000902,20000.0,305000.0
336,,1063000903,-1500.0,210000.0
337,,1063000905,135000.0,2300000.0
338,906750.0000000001,1063000907,,400000.0
339,,1063000908,,680000.0
340,181350.00000000003,1063000909,-10000.0,250000.0
341,,1063000912,,730000.0
342,,1071000101,290000.0,2710000.0
343,2312212.5000000005,1071000103,220000.0,6000000.0
344,1360125.0000000002,1071000104,430000.0,3400000.0
345,,1071000106,-400000.0,11500000.0
346,,1071000109,1800000.0,57160000.0
347,,1071000110,,1100000.0
348,,1071000111,-10000.0,2640000.0
349,3627000.0000000005,1071000201,350000.0,5000000.0
350,2901600.0000000005,1071000205,400000.0,28000000.0
351,6891300.000000001,1071000206,65000.0,540000.0
352,,1071000207,110000.0,715000.0
353,,1071000208,50000.0,1030000.0
354,,1071000209,,1790000.0
355,2266875.0,1071000210,40000.0,2350000.0
356,,1073000801,,25200000.0
357,,1073000803,70000.0,800000.0
358,,1073000807,,1350000.0
359,,1073000808,400000.0,3000000.0
360,181350.00000000003,1073000809,,375000.0
361,1405462.5000000002,1073001201,,40000.0
362,453375.00000000006,1073001202,60000.0,0.0
363,,107300120302,,370000.0
364,725400.0000000001,1073001205,,1830000.0
365,1088100.0,1073001206,,100000.0
366,362700.00000000006,1073001207,330000.0,3300000.0
367,,1073001209,99000.0,80000.0
368,,1073001210,1440000.0,21020000.0
369,,107300121004,500000.0,6000000.0
370,,1073001601,,600000.0
371,,1073001602,,750000.0
372,,1073001603,,900000.0
373,,1073001604,47000.0,1350000.0
374,,1073001605,,409500.0
375,,1073001606,400000.0,2100000.0
376,,1073001608,,2050000.0
377,,1073001609,,215000.0
378,,1073001610,,3650000.0
379,3264300.0000000005,1073001611,,658000.0
380,634725.0,1073002002,,600000.0
381,300000.0,1073002003,18000.0,220000.0
382,,107300200304,,950000.0
383,,1073002004,,1050000.0
384,4080375.0000000005,1073002005,700000.0,15600000.0
385,3590730.0000000005,107300200503,302000.0,1320000.0
386,,1073002006,,550000.0
387,,1073002007,,1730000.0
388,,1073002008,270000.0,1200000.0
389,,1073002009,10000.0,1140000.0
390,2538900.0,1073002010,279000.0,7400000.0
391,,1073002011,8000.0,700000.0
392,4533750.0,1073002301,,0.0
393,,1073002302,,1500000.0
394,,1073002303,30000.0,1800000.0
395,,1073002304,,1950000.0
396,,1073002305,,400000.0
397,,1073002306,,400000.0
398,120000.0,1073002307,,1498500.0
399,,1073002308,,5000000.0
400,,1073002309,300000.0,6800000.0
