hh,ctotal,ctotal_dur,ctotal_gift,ctotal_dur_gift,ctotal_nogift,ctotal_dur_nogift,ctotal_own,ctotal_dur_own,cfood,cnodur,cdur
H00101-04-01,6655000.0,6895000.0,942000.0,942000.0,5245000.0,5245000.0,708000.0,708000.0,4131400.0,2523600.0,240000.0
H00102-04-01,2742400.0,3130400.0,409600.0,454600.0,1828400.0,1828400.0,504400.0,504400.0,1440400.0,1302000.0,388000.0
H00104-04-01,4044900.0,4577900.0,115200.0,115200.0,3097700.0,3097700.0,1012000.0,1012000.0,3521700.0,523200.0,533000.0
H00110-04-01,6875200.0,7005200.0,0.0,0.0,6875200.0,6875200.0,240000.0,240000.0,3640000.0,3235200.0,130000.0
H00208-04-01,11972800.0,15933800.0,156000.0,156000.0,11426800.0,11426800.0,3090000.0,3090000.0,3796000.0,8176800.0,3961000.0
H00209-04-01,6804400.0,13750400.0,832000.0,852000.0,5972400.0,5972400.0,0.0,0.0,4513600.0,2290800.0,6946000.0
H00211-04-01,8230000.0,18903000.0,18000.0,36000.0,8212000.0,8212000.0,2400000.0,2400000.0,4607200.0,3622800.0,10673000.0
H00213-04-01,28869800.0,39124800.0,7852000.0,7867000.0,21017800.0,21017800.0,3600000.0,3600000.0,16242200.0,12627600.0,10255000.0
H00301-04-01,6079000.0,9450000.0,0.0,0.0,6079000.0,6079000.0,0.0,0.0,3398200.0,2680800.0,3371000.0
H00302-04-01,5559600.0,5602600.0,0.0,0.0,5559600.0,5559600.0,0.0,0.0,2839200.0,2720400.0,43000.0
H00303-04-01,3686800.0,3801300.0,36000.0,95000.0,3650800.0,3650800.0,0.0,0.0,2080000.0,1606800.0,114500.0
H00304-04-01,2793000.0,2810000.0,90000.0,90000.0,2703000.0,2703000.0,0.0,0.0,1934400.0,858600.0,17000.0
H00307-04-01,5808600.0,6298300.0,26000.0,26000.0,5782600.0,5782600.0,0.0,0.0,3393000.0,2415600.0,489700.0
H00312-04-01,10236600.0,11452400.0,0.0,0.0,9716600.0,9716600.0,520000.0,520000.0,5779800.0,4456800.0,1215800.0
