hh,own_quant,own_value
H00101-04-01,,
H00102-04-01,364.0,504400.0
H00104-04-01,,
H00208-04-01,,
H00209-04-01,,
H00211-04-01,,
H00213-04-01,,
H00301-04-01,,
H00302-04-01,,
H00303-04-01,,
H00304-04-01,,
H00307-04-01,,
H00312-04-01,52.0,520000.0
H00313-04-01,,
H00606-04-01,,
H00704-04-01,,
H00707-04-01,,
H00710-04-01,,
H00712-04-01,,
H00801-04-01,,
H00802-04-01,,
H00803-04-01,,
H00805-04-01,,
H00809-04-01,,
H00810-04-02,,
H00810-04-03,,
H00811-04-01,,
H01209-04-01,208.0,104000.0
H01209-04-02,,
H01209-04-03,,
H01210-04-01,,
H01401-04-01,,
H01406-04-01,,
H01409-04-01,,
H01601-04-01,,
H01604-04-01,,
H01605-04-01,,
H01607-04-01,,
H01612-04-01,,
H01801-04-01,,
H01806-04-01,,
H01806-04-02,520.0,374400.0
H01809-04-01,,
H01813-04-01,,
H02108-04-01,,
H02110-04-01,,
H02111-04-01,,
H02113-04-01,26.0,390000.0
H02203-04-01,,
H02205-04-01,,
H02206-04-01,,
H02207-04-01,5096.0,1362400.0
H02304-04-01,,
H02305-04-01,78.0,156000.0
H02310-04-01,,
H02401-04-01,,
H02407-04-01,,
H02409-04-01,,
H02412-04-01,,
H02507-04-01,,
H02601-04-01,,
H02601-04-02,,
H02602-04-01,,
H02608-04-01,,
H02608-04-02,,
H02609-04-01,,
H02703-04-02,,
H02705-04-01,,
H02705-04-02,,
H02706-04-01,,
H02710-04-01,1196.0,1144000.0
H02711-04-01,26.0,130000.0
H02711-04-02,,
H02711-04-03,,
H02802-04-01,,
H02803-04-01,,
H02811-04-01,,
H03001-04-01,,
H03003-04-01,,
H03005-04-01,260.0,520000.0
H03006-04-01,,
H03010-04-01,,
H03401-04-01,,
H03408-04-01,260.0,884000.0
H03409-04-01,,
H03409-04-02,,
H03410-04-01,104.0,156000.0
H03410-04-02,,
H03503-04-01,,
H03511-04-01,,
H03515-04-01,,
H03601-04-01,1040.0,894400.0
H03602-04-04,1690.0,2646800.0
H03603-04-05,1456.0,1367600.0
H03604-04-04,468.0,1040000.0
H03604-04-08,832.0,1575600.0
H03604-04-09,416.0,707200.0
H03605-04-02,676.0,1060800.0
H03607-04-01,1196.0,2126800.0
H03608-04-01,260.0,520000.0
H03704-04-01,364.0,780000.0
H03705-04-01,533.0,1107600.0
H03706-04-01,702.0,2418000.0
H03707-04-01,780.0,1783600.0
H03707-04-02,,
