,familysize,hh
H07310-04-01,24,H07310-04-01
H34707-04-01,23,H34707-04-01
H12910-04-01,21,H12910-04-01
H30910-04-01,21,H30910-04-01
H14007-04-01,18,H14007-04-01
H35702-04-01,18,H35702-04-01
H03409-04-01,17,H03409-04-01
H00810-04-02,17,H00810-04-02
H42004-04-01,17,H42004-04-01
H05906-04-01,17,H05906-04-01
H08303-04-01,16,H08303-04-01
H12310-04-01,16,H12310-04-01
H33404-04-01,16,H33404-04-01
H40509-04-01,16,H40509-04-01
H36106-04-01,15,H36106-04-01
H30306-04-01,15,H30306-04-01
H32103-04-01,15,H32103-04-01
H10909-04-01,15,H10909-04-01
H41607-04-01,15,H41607-04-01
H24510-04-01,15,H24510-04-01
H12402-04-01,15,H12402-04-01
H14405-04-01,15,H14405-04-01
H13006-04-01,14,H13006-04-01
H13006-04-02,14,H13006-04-02
H38210-04-01,14,H38210-04-01
H36508-04-01,14,H36508-04-01
H06411-04-01,14,H06411-04-01
H22302-04-01,14,H22302-04-01
H22004-04-01,14,H22004-04-01
H13205-04-02,14,H13205-04-02
H10704-04-01,14,H10704-04-01
H16205-04-01,14,H16205-04-01
H13004-04-01,14,H13004-04-01
H03910-04-01,14,H03910-04-01
H18805-04-01,14,H18805-04-01
H11002-04-01,14,H11002-04-01
H30008-04-02,14,H30008-04-02
H20603-04-02,14,H20603-04-02
H11414-04-01,14,H11414-04-01
H27908-04-01,13,H27908-04-01
H04209-04-01,13,H04209-04-01
H37707-04-01,13,H37707-04-01
H21107-04-01,13,H21107-04-01
H10004-04-01,13,H10004-04-01
H10909-04-02,13,H10909-04-02
H29910-04-01,13,H29910-04-01
H23506-04-01,13,H23506-04-01
H08706-04-01,13,H08706-04-01
H12510-04-01,13,H12510-04-01
H13002-04-01,13,H13002-04-01
H33807-04-01,13,H33807-04-01
H30309-04-01,13,H30309-04-01
H26201-04-01,13,H26201-04-01
H22510-04-01,13,H22510-04-01
H12411-04-01,13,H12411-04-01
H13107-04-02,13,H13107-04-02
H37808-04-01,13,H37808-04-01
H36807-04-01,13,H36807-04-01
H09111-04-01,12,H09111-04-01
H35506-04-01,12,H35506-04-01
H35004-04-01,12,H35004-04-01
H17310-04-01,12,H17310-04-01
H23303-04-01,12,H23303-04-01
H37809-04-01,12,H37809-04-01
