id,purch_value,own_value,gift_value,total_value
H00101-04-01,240000.0,,,240000.0
H00102-04-01,343000.0,,45000.0,388000.0
H00104-04-01,533000.0,,,533000.0
H00110-04-01,130000.0,,,130000.0
H00208-04-01,3961000.0,,,3961000.0
H00209-04-01,6926000.0,,20000.0,6946000.0
H00211-04-01,10655000.0,,18000.0,10673000.0
H00213-04-01,10240000.0,,15000.0,10255000.0
H00301-04-01,3371000.0,,,3371000.0
H00302-04-01,43000.0,,,43000.0
H00303-04-01,55500.0,,59000.0,114500.0
H00304-04-01,17000.0,,,17000.0
H00307-04-01,489700.0,,,489700.0
H00312-04-01,1215800.0,,,1215800.0
H00313-04-01,2287000.0,,,2287000.0
H00606-04-01,3463000.0,,2800000.0,6263000.0
H00704-04-01,5886000.0,,,5886000.0
H00707-04-01,1185000.0,,107000.0,1292000.0
H00710-04-01,1379700.0,,,1379700.0
H00712-04-01,4746000.0,,,4746000.0
H00801-04-01,1291000.0,,,1291000.0
H00802-04-01,986000.0,,,986000.0
H00803-04-01,364000.0,245000.0,25000.0,634000.0
H00805-04-01,72000.0,,,72000.0
H00809-04-01,8593501.0,,,8593501.0
H00810-04-02,5790000.0,,,5790000.0
H00810-04-03,458000.0,,,458000.0
H00811-04-01,646000.0,,,646000.0
H01209-04-01,5095000.0,,,5095000.0
H01209-04-02,854000.0,,,854000.0
H01209-04-03,3395002.0,70000.0,,3465002.0
H01210-04-01,638000.0,,,638000.0
H01401-04-01,6000000.0,,,6000000.0
H01402-04-01,770000.0,,,770000.0
H01406-04-01,2737200.0,,,2737200.0
H01601-04-01,291100.0,,,291100.0
H01604-04-01,4977000.0,,,4977000.0
H01605-04-01,2032000.0,,,2032000.0
H01607-04-01,165000.0,,,165000.0
H01612-04-01,205000.0,,,205000.0
H01801-04-01,3576500.0,,,3576500.0
H01806-04-01,1754000.0,,220000.0,1974000.0
H01806-04-02,198000.0,,,198000.0
H01809-04-01,7802000.0,,,7802000.0
H01813-04-01,3449000.0,,605000.0,4054000.0
H02108-04-01,1066500.0,,,1066500.0
H02110-04-01,3650000.0,,,3650000.0
H02111-04-01,4951000.0,,,4951000.0
H02113-04-01,1385000.0,,30000.0,1415000.0
H02203-04-01,4600500.0,,,4600500.0
H02205-04-01,9104006.0,,,9104006.0
H02206-04-01,2690000.0,,,2690000.0
H02207-04-01,5502000.0,,930000.0,6432000.0
H02304-04-01,248000.0,,,248000.0
H02305-04-01,360800.0,,,360800.0
H02310-04-01,1012000.0,,,1012000.0
H02401-04-01,129000.0,,,129000.0
H02407-04-01,35000.0,,,35000.0
H02409-04-01,44000.0,,,44000.0
H02412-04-01,848000.0,,,848000.0
H02507-04-01,8180000.0,,1080000.0,9260000.0
H02601-04-01,658000.0,,,658000.0
H02601-04-02,1671000.0,,20000.0,1691000.0
H02602-04-01,3293500.0,,,3293500.0
H02608-04-01,280000.0,,,280000.0
H02608-04-02,9695000.0,,,9695000.0
H02609-04-01,70500.0,,,70500.0
H02703-04-02,1360000.0,,,1360000.0
H02705-04-01,1845000.0,,,1845000.0
H02705-04-02,173000.0,,,173000.0
H02706-04-01,278000.0,,,278000.0
H02710-04-01,364000.0,,74000.0,438000.0
H02711-04-01,186000.0,,,186000.0
H02711-04-02,2564500.0,,240000.0,2804500.0
H02711-04-03,5847000.0,,,5847000.0
H02802-04-01,7050400.0,150000.0,,7200400.0
H02803-04-01,601000.0,,2657000.0,3258000.0
H02811-04-01,4677000.0,,,4677000.0
H03001-04-01,1708000.0,,,1708000.0
H03003-04-01,2280000.0,,,2280000.0
H03005-04-01,587000.0,,,587000.0
H03006-04-01,1355000.0,,6666500.0,8021500.0
H03010-04-01,1941000.0,,,1941000.0
H03401-04-01,3444200.0,,,3444200.0
H03408-04-01,863500.0,,10000.0,873500.0
H03409-04-01,655000.0,,6580000.0,7235000.0
H03409-04-02,156200.0,,,156200.0
H03410-04-01,2220000.0,,,2220000.0
H03410-04-02,210000.0,,,210000.0
H03503-04-01,1339000.0,,,1339000.0
H03511-04-01,129000.0,,,129000.0
H03512-04-01,48000.0,,,48000.0
H03515-04-01,205000.0,,,205000.0
H03601-04-01,127000.0,,30000.0,157000.0
H03602-04-04,513500.0,,40000.0,553500.0
H03603-04-05,1199000.0,,,1199000.0
