id,ndur_nfood_totalvalue
H00101-04-01,210300.0
H00102-04-01,108500.0
H00104-04-01,43600.0
H00110-04-01,269600.0
H00208-04-01,681400.0
H00209-04-01,190900.0
H00211-04-01,301900.0
H00213-04-01,1052300.0
H00301-04-01,223400.0
H00302-04-01,226700.0
H00303-04-01,133900.0
H00304-04-01,71550.0
H00307-04-01,201300.0
H00312-04-01,371400.0
H00313-04-01,2317900.0
H00606-04-01,326100.0
H00704-04-01,159500.0
H00707-04-01,864300.0
H00710-04-01,249400.0
H00712-04-01,1122700.0
H00801-04-01,1109300.0
H00802-04-01,251700.0
H00803-04-01,857709.0
H00805-04-01,118600.0
H00809-04-01,1132000.0
H00810-04-02,2239400.0
H00810-04-03,664000.0
H00811-04-01,477800.0
H01209-04-01,542600.0
H01209-04-02,161900.0
H01209-04-03,717065.0
H01210-04-01,497100.0
H01401-04-01,1051300.0
H01402-04-01,601700.0
H01406-04-01,619300.0
H01409-04-01,300700.0
H01601-04-01,313300.0
H01604-04-01,2025300.0
H01605-04-01,1538500.0
H01607-04-01,166200.0
H01612-04-01,285400.0
H01801-04-01,429800.0
H01806-04-01,154700.0
H01806-04-02,189000.0
H01809-04-01,245300.0
H01813-04-01,631275.0
H02108-04-01,125800.0
H02110-04-01,468800.0
H02111-04-01,493800.0
H02113-04-01,342900.0
H02203-04-01,287300.0
H02205-04-01,3154500.0
H02206-04-01,425500.0
H02207-04-01,312100.0
H02304-04-01,249100.0
H02305-04-01,530000.0
H02310-04-01,460700.0
H02401-04-01,190960.0
H02407-04-01,101000.0
H02409-04-01,118200.0
H02412-04-01,333700.0
H02507-04-01,317450.0
H02601-04-01,566900.0
H02601-04-02,677300.0
H02602-04-01,428300.0
H02608-04-01,229300.0
H02608-04-02,738600.0
H02609-04-01,140750.0
H02703-04-02,382300.0
H02705-04-01,531300.0
H02705-04-02,72900.0
H02706-04-01,183300.0
H02710-04-01,313300.0
H02711-04-01,193500.0
H02711-04-02,266700.0
H02711-04-03,895600.0
H02802-04-01,1440000.0
H02803-04-01,151400.0
H02811-04-01,258000.0
H03001-04-01,375000.0
H03003-04-01,2584200.0
H03005-04-01,670500.0
H03006-04-01,518800.0
H03010-04-01,234200.0
H03401-04-01,558100.0
H03408-04-01,115500.0
H03409-04-01,390400.0
