,hh,profit_agra,profit_agrb,profit_ls,profit_agr,total_agrls
0,1100401,,22040.0,,22040.0,22040.0
1,21100401,526000.0,,,526000.0,526000.0
2,21130401,2581808.3900226755,,,2581808.3900226755,2581808.3900226755
3,23100401,330000.0,,,330000.0,330000.0
4,27110401,,,,,
5,36010401,445214.28571428574,893589.7435897437,,1338804.0293040294,1338804.0293040294
6,36030405,272800.0,576583.3342025678,,849383.3342025678,849383.3342025678
7,36040404,203500.0,606422.435897436,,809922.435897436,809922.435897436
8,36040408,1244000.0,1027905.1282051282,,2271905.128205128,2271905.128205128
9,36040409,322000.0,350000.0,505000.0,672000.0,1177000.0
10,36050402,715000.0,1784000.0,981736.7400881057,2499000.0,3480736.7400881057
11,36070401,872000.0017881393,2677500.002682209,166736.74008810573,3549500.0044703484,3716236.744558454
12,37040401,309000.0,120235.89743589744,,429235.89743589744,429235.89743589744
13,37050401,1504000.0,926000.0,,2430000.0,2430000.0
14,37060401,987000.0,684166.6666666666,106800.0,1671166.6666666665,1777966.6666666665
15,37070401,620000.0,674576.9230769231,364000.0,1294576.923076923,1658576.923076923
16,37090401,334500.0,295687.1794871795,,630187.1794871795,630187.1794871795
17,37110402,939000.0,574230.7692307692,-10000.0,1513230.7692307692,1503230.7692307692
18,38070401,,107089.7435897436,,107089.7435897436,107089.7435897436
19,38100401,,1184000.0,,1184000.0,1184000.0
20,39020401,,262050.00093132257,,262050.00093132257,262050.00093132257
21,39060401,90000.0,332000.0,,422000.0,422000.0
22,39070401,,602384.6153846154,30200.0,602384.6153846154,632584.6153846154
23,39090401,,99516.02564102566,-17500.0,99516.02564102566,82016.02564102566
24,39090402,568450.0014901161,1229504.6178060544,1001000.0,1797954.6192961705,2798954.619296171
25,39100401,-122066.66666666666,697679.4871794872,,575612.8205128206,575612.8205128206
26,40010401,819666.6653255621,457333.3333333333,170200.0,1276999.9986588955,1447199.9986588955
27,40030401,871333.3333333333,852899.9999463558,89200.0,1724233.333279689,1813433.333279689
28,40040401,206500.0,143033.33333333334,62400.0,349533.3333333334,411933.3333333334
29,40050401,351166.6666666666,601381.4102564104,,952548.076923077,952548.076923077
30,40070401,545904.7619047619,549423.0769230769,,1095327.8388278387,1095327.8388278387
31,40100401,467000.0,1230567.3091824239,330585.1771527543,1697567.3091824239,2028152.4863351781
32,40110401,,384931.28205128206,-2000.0,384931.28205128206,382931.28205128206
33,42010401,,947089.7435897436,1477400.0,947089.7435897436,2424489.7435897435
34,42030401,638115.6462585034,1103294.8725399298,374760.68376068375,1741410.5187984332,2116171.202559117
35,42040401,364000.0,762812.8205128205,-25000.0,1126812.8205128205,1101812.8205128205
36,42050401,,271855.12820512825,295760.68376068375,271855.12820512825,567615.811965812
37,42060401,48000.0,96000.0,-11000.0,144000.0,133000.0
38,42070401,492000.0,478017.3076923077,,970017.3076923077,970017.3076923077
39,42080402,538000.0,125333.33333333334,,663333.3333333334,663333.3333333334
40,42090401,,1404166.6666666665,88600.0,1404166.6666666665,1492766.6666666665
41,42100401,,536794.8750234568,,536794.8750234568,536794.8750234568
42,45090401,3702000.0,407166.6666666667,1014327.6313114199,4109166.6666666665,5123494.297978086
43,46020401,,350833.33402872086,154380.34188034188,350833.33402872086,505213.67590906273
44,46030401,349499.9992400408,695000.0,171000.0,1044499.9992400408,1215499.9992400408
45,46040401,95892.85714285714,185500.0014901161,,281392.8586329732,281392.8586329732
46,46060401,272499.99982118607,428166.6666666667,,700666.6664878528,700666.6664878528
47,46060402,850023.8095238095,1336666.6666666665,1332642.735042735,2186690.4761904757,3519333.2112332107
48,46080401,602500.0,684999.999925494,,1287499.999925494,1287499.999925494
49,46090401,601499.9988824128,1164000.0,,1765499.998882413,1765499.998882413
50,46100401,1122800.0002384186,1779333.3333333333,,2902133.3335717516,2902133.3335717516
51,46100403,1190000.0,130150.0,892782.0512820513,1320150.0,2212932.051282051
52,48020402,405000.0,792282.0512820513,,1197282.0512820513,1197282.0512820513
53,48030402,613500.0,1273461.5373439514,889266.6666666666,1886961.5373439514,2776228.204010618
54,48040401,1251428.5714285714,,160380.34188034188,1251428.5714285714,1411808.9133089134
55,48050401,318000.0,965500.0,,1283500.0,1283500.0
56,48060401,263000.0,627500.0007450581,690760.6837606838,890500.0007450581,1581260.6845057418
57,48070401,126000.0,122833.33333333334,,248833.33333333334,248833.33333333334
58,48080401,300428.5714285714,881499.9977648256,339000.0,1181928.569193397,1520928.569193397
59,48100401,29999.999463558197,31500.0,,61499.9994635582,61499.9994635582
60,49030401,234400.00035762787,892000.0,,1126400.0003576279,1126400.0003576279
61,49050401,1412000.0017881393,1081333.3368102708,,2493333.33859841,2493333.33859841
62,49070401,350000.0,747333.331098159,,1097333.3310981588,1097333.3310981588
63,49080401,2140095.238095238,1500025.6410256412,,3640120.879120879,3640120.879120879
64,49090401,,,20600.0,,20600.0
65,49100401,3064000.0017881393,3933333.332960804,-5000.0,6997333.334748943,6992333.334748943
66,49120401,1275000.0035762787,,152000.0,1275000.0035762787,1427000.0035762787
67,49130401,100100.0,174698.71794871797,,274798.717948718,274798.717948718
68,49130402,120000.0,154833.33333333334,-25000.0,274833.3333333334,249833.33333333337
69,49130403,74700.0,116666.66666666667,-18000.0,191366.6666666667,173366.6666666667
70,49130405,666000.0,495833.3333333334,,1161833.3333333335,1161833.3333333335
71,49130406,398000.00035762787,253166.6668156783,,651166.6671733062,651166.6671733062
72,50020401,,1092166.6666666665,550000.0,1092166.6666666665,1642166.6666666665
73,50030401,183000.0,570000.0,-2000.0,753000.0,751000.0
74,50040401,,1003458.3347241085,,1003458.3347241085,1003458.3347241085
75,50050401,123000.00035762787,342166.6666666667,,465166.66702429455,465166.66702429455
76,50060401,144500.0,333730.76923076925,,478230.76923076925,478230.76923076925
77,50070401,485709.5238095238,,,485709.5238095238,485709.5238095238
78,50080401,440773.8095238095,463500.0,,904273.8095238095,904273.8095238095
79,50090401,682057.1428571428,528666.6666666667,,1210723.8095238097,1210723.8095238097
80,50100401,779000.0,1282250.0002086165,,2061250.0002086165,2061250.0002086165
81,51010401,296000.0025828679,624128.2051282051,856000.0,920128.2077110731,1776128.207711073
82,51020401,374000.0,760304.4906698931,263912.24669603526,1134304.490669893,1398216.7373659285
83,51030401,,208333.33333333334,,208333.33333333334,208333.33333333334
84,51050401,60000.0,728333.3333333334,,788333.3333333334,788333.3333333334
85,51060401,,467950.00183781,804000.0,467950.00183781,1271950.00183781
86,51070401,69000.0,183000.0,,252000.0,252000.0
87,51080401,177500.0,218250.0,160380.34188034188,395750.0,556130.3418803419
88,51090401,75000.0,145833.33333333334,,220833.33333333334,220833.33333333334
89,53020401,4432185.714285714,1162308.9743589745,191580.34188034188,5594494.688644689,5786075.030525031
90,53030401,1603095.238095238,2835833.3333333335,,4438928.571428572,4438928.571428572
91,53040401,350200.0,,-30000.0,350200.0,320200.0
92,53050401,1497333.3333333333,1351397.4371391993,554800.0,2848730.7704725326,3403530.7704725326
93,53050402,100000.0,,-9000.0,100000.0,91000.0
94,53050403,923428.5785811292,527076.9208417487,702000.0,1450505.499422878,2152505.499422878
95,53060401,,273721.1538461539,,273721.1538461539,273721.1538461539
96,53080401,1762476.1904761903,1375666.6681567826,1409536.7400881057,3138142.858632973,4547679.598721079
97,53090401,1414500.0,,,1414500.0,1414500.0
98,53100401,659000.0,396666.6666666667,,1055666.6666666667,1055666.6666666667
99,53100402,,,249600.0,,249600.0
100,54030401,,1507653.8447009828,1197380.341880342,1507653.8447009828,2705034.186581325
101,54040401,1006307.1442876544,280690.4761904762,,1286997.6204781306,1286997.6204781306
102,54050401,288000.0,332250.0,,620250.0,620250.0
103,54070401,292000.0,432500.0,,724500.0,724500.0
104,54090401,2944095.238095238,1840123.6294094517,160380.34188034188,4784218.86750469,4944599.209385032
105,54100401,1043533.3320717015,1515487.179263662,14000.0,2559020.5113353636,2573020.5113353636
106,54120401,863000.0,559183.3333333334,500000.0,1422183.3333333335,1922183.3333333335
107,54120402,505500.0,468615.3834977974,-10000.0,974115.3834977974,964115.3834977974
108,57010401,100000.0,272500.0,-4000.0,372500.0,368500.0
109,57020401,390000.0,1324499.9991307657,352000.0,1714499.9991307657,2066499.9991307657
