profit_agra,profit_agrb,profit_ls,profit_agr,total_agrls,hh
,22040.0,,22040.0,22040.0,H00110-04-01
526000.0,,,526000.0,526000.0,H02110-04-01
2581808.3900226755,,,2581808.3900226755,2581808.3900226755,H02113-04-01
330000.0,,-5000.0,330000.0,325000.0,H02310-04-01
,,,,,H02711-04-01
445214.28571428574,893589.7435897437,,1338804.0293040294,1338804.0293040294,H03601-04-01
272800.0,576583.3342025678,,849383.3342025678,849383.3342025678,H03603-04-05
203500.0,606422.435897436,,809922.435897436,809922.435897436,H03604-04-04
1244000.0,1027905.1282051282,,2271905.128205128,2271905.128205128,H03604-04-08
322000.0,350000.0,505000.0,672000.0,1177000.0,H03604-04-09
715000.0,1784000.0,981736.7400881057,2499000.0,3480736.7400881057,H03605-04-02
872000.0017881393,2677500.002682209,166736.74008810573,3549500.0044703484,3716236.744558454,H03607-04-01
309000.0,120235.89743589744,,429235.89743589744,429235.89743589744,H03704-04-01
1504000.0,926000.0,,2430000.0,2430000.0,H03705-04-01
987000.0,684166.6666666666,106800.0,1671166.6666666665,1777966.6666666665,H03706-04-01
620000.0,674576.9230769231,364000.0,1294576.923076923,1658576.923076923,H03707-04-01
334500.0,295687.1794871795,,630187.1794871795,630187.1794871795,H03709-04-01
939000.0,574230.7692307692,-10000.0,1513230.7692307692,1503230.7692307692,H03711-04-02
,107089.7435897436,,107089.7435897436,107089.7435897436,H03807-04-01
,1184000.0,,1184000.0,1184000.0,H03810-04-01
,262050.00093132257,,262050.00093132257,262050.00093132257,H03902-04-01
90000.0,332000.0,,422000.0,422000.0,H03906-04-01
,602384.6153846154,30200.0,602384.6153846154,632584.6153846154,H03907-04-01
,99516.02564102566,-17500.0,99516.02564102566,82016.02564102566,H03909-04-01
568450.0014901161,1229504.6178060544,1001000.0,1797954.6192961705,2798954.619296171,H03909-04-02
-122066.66666666666,697679.4871794872,,575612.8205128206,575612.8205128206,H03910-04-01
819666.6653255621,457333.3333333333,170200.0,1276999.9986588955,1447199.9986588955,H04001-04-01
871333.3333333333,852899.9999463558,89200.0,1724233.333279689,1813433.333279689,H04003-04-01
206500.0,143033.33333333334,62400.0,349533.3333333334,411933.3333333334,H04004-04-01
351166.6666666666,601381.4102564104,,952548.076923077,952548.076923077,H04005-04-01
545904.7619047619,549423.0769230769,,1095327.8388278387,1095327.8388278387,H04007-04-01
467000.0,1230567.3091824239,330585.1771527543,1697567.3091824239,2028152.4863351781,H04010-04-01
