,wage_total,hh,bs_profit,other_net
0,,H00101-04-01,1594.5788185813853,-657.159755536571
1,,H00102-04-01,,-13.143195110731419
2,,H00104-04-01,78.85917066438851,-3.8656456208033587
3,,H00110-04-01,7.731291241606717,
4,162.35711607374105,H00208-04-01,535.7784830433455,463.87747449640307
5,1391.632423489209,H00209-04-01,,-8.50442036576739
6,2435.356741106116,H00211-04-01,908.4267208887893,659.0925783469726
7,881.3672015431657,H00213-04-01,831.1138084727221,8048.274182512593
8,1391.632423489209,H00301-04-01,,
9,,H00302-04-01,197.14792666097128,
10,1623.5711607374105,H00303-04-01,,
11,463.87747449640307,H00304-04-01,,-19.328228104016794
12,556.6529693956836,H00307-04-01,65.7159755536571,-0.7731291241606717
13,7422.039591942449,H00312-04-01,461.94465168600135,
14,,H00313-04-01,966.4114052008397,-463.87747449640307
15,2087.4486352338135,H00606-04-01,,-115.96936862410077
16,1398.8805090282153,H00704-04-01,162.35711607374105,
17,139.1632423489209,H00707-04-01,270.5951934562351,579.8468431205038
18,154.62582483213436,H00710-04-01,46.3877474496403,
19,2551.3261097302166,H00712-04-01,589.5109571725122,-38.65645620803359
20,15880.072210260198,H00801-04-01,603.0407168453239,
21,1484.4079183884896,H00802-04-01,27.05951934562351,
22,309.2516496642687,H00803-04-01,603.0407168453239,
23,1113.3059387913672,H00805-04-01,,
24,,H00809-04-01,57.98468431205038,
25,2106.7768633378305,H00810-04-02,7.731291241606717,4638.77474496403
26,,H00810-04-03,77.31291241606718,
27,4174.897270467627,H00811-04-01,30.92516496642687,2319.387372482015
28,,H01209-04-01,,7151.444398486214
29,,H01209-04-02,,
30,,H01209-04-03,96.64114052008397,
31,99.39966523508924,H01210-04-01,,
32,,H01401-04-01,657.159755536571,
33,772.3559950365111,H01402-04-01,-131.4319511073142,-115.96936862410077
34,4174.897270467627,H01406-04-01,,-7.731291241606717
35,,H01409-04-01,15.462582483213435,185.5509897985612
36,4824.325734762591,H01601-04-01,,
37,,H01604-04-01,3942.958533219426,-1256.3348267610918
38,695.8162117446045,H01605-04-01,,1662.2276169454444
39,,H01607-04-01,,927.7549489928061
40,927.7549489928061,H01612-04-01,297.65471280185864,-5.798468431205038
41,869.7702646807556,H01801-04-01,,-1.9328228104016794
42,,H01806-04-01,34.790810587230226,-115.96936862410077
43,,H01806-04-02,599.1750712245206,131.43195110731418
44,695.8162117446045,H01809-04-01,,459.238699751439
45,386.56456208033586,H01813-04-01,,2771.667910116008
46,,H02108-04-01,28.99234215602519,
47,69.58162117446045,H02110-04-01,23.19387372482015,641.6971730533576
48,2319.387372482015,H02111-04-01,,-96.64114052008397
49,,H02113-04-01,,-38.65645620803359
50,,H02203-04-01,,-11.596936862410075
51,13587.744357123805,H02205-04-01,386.56456208033586,-30.92516496642687
52,6958.162117446045,H02206-04-01,,-4.252210182883695
53,3711.0197959712245,H02207-04-01,-309.2516496642687,-123.70065986570745
54,,H02304-04-01,441.2634476147034,-382.6989164595325
55,2783.264846978418,H02305-04-01,,
56,2504.9383622805763,H02310-04-01,,-54.11903869124702
57,1391.632423489209,H02401-04-01,,-9.277549489928061
58,2644.101604629497,H02407-04-01,,-30.92516496642687
59,1066.918191341727,H02409-04-01,,-193.28228104016793
60,1391.632423489209,H02412-04-01,,
61,,H02507-04-01,,247.40131973141496
62,1159.6936862410075,H02601-04-01,734.4726679526382,-38.65645620803359
63,16351.680975998208,H02601-04-02,380.7660936491308,-1274.116796616787
64,1573.317767666967,H02602-04-01,,-30.92516496642687
65,,H02608-04-01,69.58162117446045,309.2516496642687
66,9664.114052008397,H02608-04-02,,-405.89279018435263
67,,H02609-04-01,38.65645620803359,-7.731291241606717
68,2319.387372482015,H02703-04-02,,
69,,H02705-04-01,,-19.328228104016794
70,,H02705-04-02,158.4914704529377,
71,,H02706-04-01,,-15.462582483213435
72,,H02710-04-01,,367.2363339763191
73,2783.264846978418,H02711-04-01,,177.43313399487414
74,1855.5098979856123,H02711-04-02,,
75,4638.77474496403,H02711-04-03,,-15.462582483213435
76,1128.7685212745807,H02802-04-01,77.31291241606718,-394.29585332194256
77,,H02803-04-01,81.17855803687053,
78,1391.632423489209,H02811-04-01,57.98468431205038,-7.731291241606717
79,208.74486352338135,H03001-04-01,289.9234215602519,
80,,H03003-04-01,583.7124887413072,-92.7754948992806
81,927.7549489928061,H03005-04-01,,135.29759672811755
82,6262.345905701441,H03006-04-01,,680.3536292613911
83,,H03010-04-01,77.31291241606718,927.7549489928061
84,,H03401-04-01,228.07309162739816,1391.632423489209
85,,H03408-04-01,,
