,wage_total,hh,bs_profit,other_net
0,,H00101-04-01,4125000.0,-1700000.0
1,,H00102-04-01,,-34000.0
2,,H00104-04-01,204000.0,-10000.0
3,,H00110-04-01,20000.0,
4,420000.0,H00208-04-01,1386000.0,1200000.0
5,3600000.0,H00209-04-01,,-22000.0
6,6300000.0,H00211-04-01,2350000.0,1705000.0
7,2280000.0,H00213-04-01,2150000.0,20820000.0
8,4320000.0,H00301-04-01,,
9,,H00302-04-01,510000.0,
10,4200000.0,H00303-04-01,,
11,1440000.0,H00304-04-01,,-50000.0
12,1728000.0,H00307-04-01,170000.0,-2000.0
13,28224000.0,H00312-04-01,1195000.0,
14,,H00313-04-01,2500000.0,-1200000.0
15,5400000.0,H00606-04-01,,-300000.0
16,3618750.0,H00704-04-01,420000.0,
17,360000.0,H00707-04-01,700000.0,1500000.0
18,480000.0,H00710-04-01,120000.0,
19,6600000.0,H00712-04-01,1525000.0,-100000.0
20,41080000.0,H00801-04-01,1560000.0,
21,4320000.0,H00802-04-01,70000.0,
22,800000.0,H00803-04-01,1560000.0,
23,2880000.0,H00805-04-01,,
24,,H00809-04-01,150000.0,
25,5450000.0,H00810-04-02,20000.0,12000000.0
26,,H00810-04-03,200000.0,
27,10800000.0,H00811-04-01,80000.0,6000000.0
28,,H01209-04-01,,18500000.0
29,,H01209-04-02,,
30,,H01209-04-03,250000.0,
31,257136.0,H01210-04-01,,
32,,H01401-04-01,1700000.0,
33,2038000.0,H01402-04-01,-340000.0,-300000.0
34,10800000.0,H01406-04-01,,-20000.0
35,,H01409-04-01,40000.0,480000.0
36,12480000.0,H01601-04-01,,
37,,H01604-04-01,10200000.0,-3250000.0
38,1800000.0,H01605-04-01,,4300000.0
39,,H01607-04-01,,2400000.0
40,2400000.0,H01612-04-01,770000.0,-15000.0
41,2250000.0,H01801-04-01,,-5000.0
42,,H01806-04-01,90000.0,-300000.0
43,,H01806-04-02,1550000.0,340000.0
44,1800000.0,H01809-04-01,,1188000.0
45,1200000.0,H01813-04-01,,7170000.0
46,,H02108-04-01,75000.0,
47,180000.0,H02110-04-01,60000.0,1660000.0
48,6000000.0,H02111-04-01,,-250000.0
49,,H02113-04-01,,-100000.0
50,,H02203-04-01,,-30000.0
51,35150000.0,H02205-04-01,1000000.0,-80000.0
52,18000000.0,H02206-04-01,,-11000.0
53,9600000.0,H02207-04-01,-800000.0,-320000.0
54,,H02304-04-01,1141500.0,-990000.0
55,7200000.0,H02305-04-01,,
56,6816000.0,H02310-04-01,,-140000.0
57,3600000.0,H02401-04-01,,-24000.0
58,8208000.0,H02407-04-01,,-80000.0
59,2760000.0,H02409-04-01,,-500000.0
60,3600000.0,H02412-04-01,,
61,,H02507-04-01,,640000.0
62,3000000.0,H02601-04-01,1900000.0,-100000.0
63,42300000.0,H02601-04-02,985000.0,-3296000.0
64,4070000.0,H02602-04-01,,-80000.0
65,,H02608-04-01,180000.0,800000.0
66,25000000.0,H02608-04-02,,-1050000.0
67,,H02609-04-01,100000.0,-20000.0
68,6000000.0,H02703-04-02,,
69,,H02705-04-01,,-50000.0
70,,H02705-04-02,410000.0,
71,,H02706-04-01,,-40000.0
72,,H02710-04-01,,950000.0
73,8640000.0,H02711-04-01,,459000.0
74,4800000.0,H02711-04-02,,
75,12000000.0,H02711-04-03,,-40000.0
76,3120000.0,H02802-04-01,200000.0,-1020000.0
77,,H02803-04-01,210000.0,
78,3600000.0,H02811-04-01,150000.0,-20000.0
79,540000.0,H03001-04-01,750000.0,
80,,H03003-04-01,1510000.0,-240000.0
81,2400000.0,H03005-04-01,,350000.0
82,16200000.0,H03006-04-01,,1760000.0
83,,H03010-04-01,200000.0,2400000.0
84,,H03401-04-01,590000.0,3600000.0
85,,H03408-04-01,,
86,4920000.0,H03409-04-01,50000.0,1440000.0
87,7660000.0,H03409-04-02,,
88,,H03410-04-01,1410000.0,17320000.0
89,,H03410-04-02,150000.0,
90,975000.0,H03503-04-01,-160000.0,-52000.0
91,1152000.0,H03511-04-01,154000.0,
92,,H03512-04-01,250000.0,-812500.0
93,1245000.0,H03515-04-01,,
94,,H03601-04-01,65000.0,-70000.0
95,,H03602-04-04,70000.0,520000.0
96,70000.0,H03603-04-05,,-15000.0
97,240000.0,H03604-04-04,,
98,,H03604-04-08,80000.0,-100000.0
99,1020000.0,H03604-04-09,,-70000.0
100,,H03605-04-02,295000.0,
101,,H03607-04-01,80000.0,
102,,H03608-04-01,,150000.0
103,1056000.0,H03704-04-01,,-40000.0
104,700000.0,H03705-04-01,560000.0,-50000.0
105,,H03706-04-01,,-25000.0
106,,H03707-04-01,240000.0,-450000.0
107,1020000.0,H03707-04-02,,
108,,H03709-04-01,45000.0,-50000.0
109,,H03711-04-02,330000.0,
110,,H03711-04-03,360000.0,
111,,H03711-04-04,212000.0,-220000.0
112,1035000.0,H03804-04-01,973000.0,-4100000.0
113,,H03807-04-01,,890000.0
114,14700000.0,H03809-04-01,150000.0,-230000.0
115,,H03810-04-01,110000.0,-25000.0
116,3339000.0,H03811-04-01,135000.0,-630000.0
117,3240000.0,H03813-04-01,1720000.0,-125000.0
118,2880000.0,H03901-04-01,,
119,,H03902-04-01,,
120,240000.0,H03903-04-01,346000.0,-110000.0
121,,H03906-04-01,,
122,,H03907-04-01,328000.0,12000000.0
123,,H03908-04-01,252000.0,-450000.0
124,,H03909-04-01,80000.0,670000.0
125,,H03909-04-02,,-150000.0
126,480000.0,H03910-04-01,,
127,468000.0,H04001-04-01,75000.0,-400000.0
128,,H04002-04-01,,-80000.0
129,2790000.0,H04003-04-01,,-1800000.0
130,2640000.0,H04003-04-03,130000.0,-210000.0
131,4050000.0,H04004-04-01,120000.0,-1074000.0
132,960000.0,H04005-04-01,,-90000.0
133,3780000.0,H04006-04-01,40000.0,
134,,H04007-04-01,,-50000.0
135,360000.0,H04009-04-01,,-5000.0
136,,H04010-04-01,110000.0,-400000.0
137,4500000.0,H04010-04-02,,-350000.0
138,2160000.0,H04011-04-01,,-20000.0
139,2430000.0,H04011-04-02,,-180000.0
140,,H04201-04-01,,-80000.0
141,,H04202-04-01,630000.0,-228800.0
142,,H04203-04-01,200000.0,-30000.0
143,108000.0,H04204-04-01,240000.0,-120000.0
144,,H04205-04-01,489000.0,
145,,H04206-04-01,10000.0,-20000.0
146,,H04207-04-01,598000.0,100000.0
147,84000.0,H04208-04-01,,-20000.0
148,,H04208-04-02,230000.0,-110000.0
149,,H04209-04-01,60000.0,
150,120000.0,H04210-04-01,35000.0,-8000.0
151,,H04501-04-01,45000.0,-55000.0
152,,H04505-04-01,5330000.0,-1500000.0
153,3240000.0,H04508-04-02,130000.0,
