age,aggregate,climate,cons_nd,d_aggregate,d_climate,d_health,d_idiosyn,d_job,d_pests,d_prices,d_shock,health,hh,hhsize,hhsize1,idiosyn,income_dis2,job,lnc,lny,pests,prices,region,reside,sex,shock,sregion,wave
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013000201,,,0.0,,0.0,,,0.0,0.0,,,,0.0,2.0,2009-2010
34.0,0.0,0.0,3101311.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013000204,,4.0,0.0,1419889.25,0.0,7.0891242027282715,6.307878017425537,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2009-2010
29.0,0.0,0.0,9995868.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013000206,,1.0,0.0,9464983.0,0.0,8.25947093963623,8.2048978805542,0.0,0.0,0.0,0.0,1.0,0.0,,2009-2010
38.0,0.0,0.0,3078515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013000210,,1.0,0.0,14130820.0,0.0,7.0817461013793945,8.605657577514648,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2009-2010
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013000213,,,0.0,,0.0,,,0.0,0.0,,,,0.0,,2009-2010
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101300021302,,,0.0,,0.0,,,0.0,0.0,,,,0.0,,2009-2010
39.0,0.0,0.0,35115808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000102,,6.0,0.0,17874600.0,0.0,9.515950202941895,8.840679168701172,0.0,0.0,0.0,0.0,1.0,0.0,,2009-2010
70.0,0.0,0.0,14618834.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000108,,5.0,0.0,5420963.5,0.0,8.639609336853027,7.6475725173950195,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2009-2010
39.0,0.0,0.0,14080902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000109,,6.0,0.0,8937300.0,0.0,8.602118492126465,8.14753246307373,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2009-2010
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000110,,,0.0,,0.0,,,0.0,0.0,,,,0.0,,2009-2010
47.0,0.0,0.0,29299856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000111,,10.0,0.0,12772335.0,0.0,9.334881782531738,8.5045804977417,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2009-2010
47.0,0.0,0.0,26354338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1021000113,,9.0,0.0,15213470.0,0.0,9.228931427001953,8.67948055267334,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2009-2010
41.0,0.0,0.0,7875473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000201,,5.0,0.0,3546431.5,0.0,8.021052360534668,7.223240852355957,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2009-2010
43.0,0.0,0.0,5324408.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1021000202,,1.0,1.0,398919.03125,0.0,7.629600524902344,5.038301944732666,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2009-2010
58.0,0.0,0.0,8645831.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1021000203,,11.0,1.0,7542784.0,0.0,8.114376068115234,7.977890491485596,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2009-2010
27.0,0.0,0.0,5441574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102100020304,,4.0,0.0,797838.0625,0.0,7.6513671875,5.731449127197266,0.0,0.0,1.0,0.0,1.0,0.0,,2009-2010
,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1021000207,,,1.0,,0.0,,,0.0,0.0,,,,1.0,1.0,2009-2010
59.0,0.0,0.0,4041117.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000209,,1.0,0.0,5822499.5,0.0,7.353820323944092,7.719028472900391,0.0,0.0,0.0,0.0,1.0,0.0,,2009-2010
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000210,,,0.0,,0.0,,,0.0,0.0,,,,0.0,,2009-2010
48.0,0.0,0.0,5024145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000212,,4.0,0.0,1662162.625,0.0,7.571554183959961,6.465418338775635,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2009-2010
50.0,0.0,0.0,39562256.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1021000213,,12.0,1.0,17951356.0,0.0,9.635174751281738,8.844964981079102,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2009-2010
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000303,,,0.0,,0.0,,,0.0,0.0,,,,0.0,,2009-2010
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000310,,,0.0,,0.0,,,0.0,0.0,,,,0.0,,2009-2010
30.0,0.0,0.0,6393397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000312,,3.0,0.0,6306605.0,0.0,7.812564849853516,7.798896312713623,0.0,0.0,0.0,0.0,2.0,0.0,,2009-2010
36.0,0.0,0.0,9026477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000313,,2.0,0.0,264659.0625,0.0,8.157461166381836,4.627985954284668,0.0,0.0,0.0,0.0,1.0,0.0,,2009-2010
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000401,,,0.0,,0.0,,,0.0,0.0,,,,0.0,,2009-2010
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000402,,,0.0,,0.0,,,0.0,0.0,,,,0.0,,2009-2010
29.0,0.0,0.0,4986271.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000405,,3.0,0.0,893436.625,0.0,7.5639872550964355,5.844618797302246,0.0,0.0,0.0,0.0,1.0,0.0,,2009-2010
28.0,0.0,0.0,5367203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102100040502,,5.0,0.0,2599537.75,0.0,7.637605667114258,6.912632465362549,0.0,0.0,1.0,0.0,2.0,0.0,,2009-2010
33.0,0.0,0.0,7433726.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102100040504,,3.0,0.0,1810789.0,0.0,7.9633259773254395,6.551061630249023,0.0,0.0,0.0,0.0,2.0,0.0,,2009-2010
34.0,0.0,0.0,9581514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000406,,5.0,0.0,8735333.0,0.0,8.217134475708008,8.124674797058105,0.0,0.0,0.0,0.0,1.0,0.0,,2009-2010
53.0,0.0,0.0,1005624.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102100040606,,2.0,0.0,1975946.875,0.0,5.962907791137695,6.6383466720581055,0.0,0.0,0.0,0.0,2.0,0.0,,2009-2010
60.0,0.0,0.0,9254151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000408,,8.0,0.0,1114331.125,0.0,8.182371139526367,6.065553188323975,0.0,0.0,0.0,0.0,2.0,0.0,,2009-2010
59.0,1.0,1.0,3833643.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1021000409,,11.0,0.0,2666192.5,0.0,7.301114559173584,6.937950611114502,0.0,0.0,0.0,0.0,1.0,1.0,,2009-2010
38.0,0.0,0.0,4010275.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000501,,1.0,0.0,2170022.25,0.0,7.346158981323242,6.732036590576172,0.0,0.0,0.0,0.0,1.0,0.0,,2009-2010
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021000503,,,0.0,,0.0,,,0.0,0.0,,,,0.0,,2009-2010
