,sex,age,father_educ,father_ocup,ethnic,bednet,hh,writeread,classeduc,illdays
0,2.0,48.0,12.0,19.0,30.0,0.0,H00101-04-01,1.0,13.0,14.0
3,2.0,46.0,,,28.0,1.0,H00102-04-01,1.0,,5.0
7,1.0,39.0,,19.0,17.0,1.0,H00104-04-01,0.0,16.0,
12,1.0,41.0,,,17.0,0.0,H00110-04-01,0.0,17.0,
14,1.0,75.0,,,17.0,0.0,H00208-04-01,0.0,22.0,
19,2.0,43.0,,,38.0,1.0,H00209-04-01,0.0,17.0,
24,1.0,50.0,,,17.0,0.0,H00211-04-01,0.0,,
31,1.0,51.0,,,17.0,1.0,H00213-04-01,0.0,51.0,15.0
38,1.0,45.0,,,35.0,0.0,H00301-04-01,0.0,17.0,
44,1.0,46.0,,,17.0,0.0,H00302-04-01,0.0,14.0,14.0
46,2.0,62.0,,,30.0,0.0,H00303-04-01,0.0,16.0,
51,1.0,40.0,,,17.0,0.0,H00304-04-01,0.0,16.0,7.0
53,2.0,42.0,,,17.0,1.0,H00307-04-01,0.0,15.0,14.0
56,2.0,52.0,3.0,19.0,17.0,0.0,H00312-04-01,0.0,32.0,5.0
63,1.0,55.0,,,17.0,0.0,H00313-04-01,0.0,36.0,14.0
69,1.0,50.0,,,30.0,1.0,H00606-04-01,0.0,31.0,
74,1.0,46.0,,,17.0,0.0,H00704-04-01,0.0,23.0,
82,2.0,51.0,,,17.0,1.0,H00707-04-01,0.0,32.0,
89,1.0,52.0,73.0,14.0,17.0,1.0,H00710-04-01,0.0,12.0,
96,1.0,61.0,,,17.0,1.0,H00712-04-01,0.0,51.0,
100,1.0,34.0,,,57.0,1.0,H00801-04-01,0.0,,
106,1.0,56.0,,,34.0,0.0,H00802-04-01,0.0,17.0,3.0
110,2.0,51.0,,,17.0,1.0,H00803-04-01,0.0,34.0,
116,1.0,29.0,3.0,22.0,17.0,1.0,H00805-04-01,0.0,34.0,
120,1.0,45.0,,,17.0,1.0,H00809-04-01,0.0,15.0,
132,2.0,57.0,,,17.0,1.0,H00810-04-02,0.0,51.0,
152,1.0,27.0,,,17.0,1.0,H00810-04-03,0.0,51.0,30.0
153,1.0,40.0,,,17.0,1.0,H00811-04-01,0.0,17.0,
159,1.0,24.0,32.0,4.0,17.0,1.0,H01209-04-01,0.0,,
167,1.0,25.0,13.0,5.0,17.0,1.0,H01209-04-02,0.0,35.0,
171,1.0,70.0,,,17.0,1.0,H01209-04-03,0.0,14.0,
178,1.0,40.0,73.0,10.0,25.0,1.0,H01210-04-01,0.0,16.0,
185,1.0,33.0,6.0,1.0,17.0,0.0,H01401-04-01,0.0,61.0,
188,2.0,49.0,,,38.0,1.0,H01402-04-01,0.0,34.0,30.0
192,1.0,51.0,17.0,5.0,45.0,0.0,H01406-04-01,0.0,36.0,
198,2.0,60.0,,,17.0,1.0,H01409-04-01,0.0,,21.0
199,1.0,32.0,,,17.0,0.0,H01601-04-01,0.0,34.0,
202,1.0,73.0,,,32.0,0.0,H01604-04-01,0.0,61.0,
204,2.0,54.0,,,50.0,1.0,H01605-04-01,0.0,51.0,30.0
211,2.0,54.0,,99.0,17.0,1.0,H01607-04-01,0.0,14.0,
223,2.0,29.0,,,17.0,1.0,H01612-04-01,0.0,,
227,1.0,48.0,,,17.0,1.0,H01801-04-01,0.0,33.0,
233,2.0,34.0,,17.0,17.0,0.0,H01806-04-01,0.0,41.0,
238,1.0,36.0,,,17.0,1.0,H01806-04-02,0.0,17.0,7.0
243,2.0,38.0,23.0,10.0,35.0,0.0,H01809-04-01,0.0,32.0,4.0
250,2.0,64.0,,,17.0,1.0,H01813-04-01,0.0,16.0,30.0
256,2.0,33.0,,,17.0,0.0,H02108-04-01,0.0,31.0,
